==Experiment Metadata==
Software Version::TPD Controller v1.0
Data Saved::Wed, Jul 14, 2010 13:43:00
Sample::JRS0032
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Sample has not been flashed or outgassed.  Resistance is too high.

==Hardware Parameters==
Start Time::Wed, Jul 14, 2010 13:41:02
Data Points::107
Sample Start Temperature (Thermocouple) [C]::90.56900
Current Limit [A]::5.00000
Temperature Limit [C]::800.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0030000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	360.00
60.00	360.00
210.00	660.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/14/2010 13:41:02	0.000	360.000	0.808	90.569	0.000	0.010	0.050	5.000
7/14/2010 13:41:03	0.532	360.000	0.850	99.214	958.539	0.760	9.390	12.355
7/14/2010 13:41:03	1.032	360.000	0.618	185.270	958.539	0.800	9.310	11.637
7/14/2010 13:41:04	1.533	360.000	0.565	221.850	958.539	0.560	7.690	13.732
7/14/2010 13:41:04	2.033	360.000	0.499	254.660	958.539	0.530	7.240	13.660
7/14/2010 13:41:05	2.532	360.000	0.511	261.980	958.539	0.510	6.620	12.980
7/14/2010 13:41:05	3.033	360.000	0.462	284.000	958.539	0.530	6.600	12.453
7/14/2010 13:41:06	3.532	360.000	0.617	247.230	958.539	0.530	6.600	12.453
7/14/2010 13:41:06	4.033	360.000	0.493	287.090	958.539	0.580	7.500	12.931
7/14/2010 13:41:07	4.532	360.000	0.442	310.920	958.539	0.420	6.580	15.667
7/14/2010 13:41:07	5.033	360.000	0.553	285.180	958.539	0.410	6.130	14.951
7/14/2010 13:41:08	5.532	360.000	0.233	379.570	958.539	0.410	6.130	14.951
7/14/2010 13:41:08	6.033	360.000	0.598	283.170	958.539	0.310	5.930	19.129
7/14/2010 13:41:09	6.532	360.000	0.298	365.020	958.539	0.560	7.290	13.018
7/14/2010 13:41:09	7.033	360.000	0.554	299.470	958.539	0.360	5.910	16.417
7/14/2010 13:41:10	7.532	360.000	0.157	411.130	958.539	0.360	5.910	16.417
7/14/2010 13:41:10	8.033	360.000	0.545	307.610	958.539	0.370	5.890	15.919
7/14/2010 13:41:11	8.532	360.000	0.137	417.690	958.539	0.500	6.790	13.580
7/14/2010 13:41:11	9.033	360.000	0.503	320.000	958.539	0.500	6.790	13.580
7/14/2010 13:41:12	9.532	360.000	0.179	405.670	958.539	0.540	6.470	11.981
7/14/2010 13:41:12	10.032	360.000	0.459	330.820	958.539	0.410	5.780	14.098
7/14/2010 13:41:13	10.533	360.000	0.280	376.640	958.539	0.460	6.130	13.326
7/14/2010 13:41:13	11.033	360.000	0.414	341.800	958.539	0.370	5.760	15.568
