==Experiment Metadata==
Software Version::TPD Controller v1.0
Data Saved::Wed, Jul 14, 2010 14:02:47
Sample::JRS0032
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Sample flashed, but not outgassed.

==Hardware Parameters==
Start Time::Wed, Jul 14, 2010 13:58:56
Data Points::421
Sample Start Temperature (Thermocouple) [C]::62.29800
Current Limit [A]::5.00000
Temperature Limit [C]::800.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0030000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	360.00
60.00	360.00
210.00	660.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/14/2010 13:58:56	0.000	360.000	0.893	62.298	0.000	0.000	0.050	Inf
7/14/2010 13:58:57	0.657	360.000	0.497	205.810	250.742	0.860	3.100	3.605
7/14/2010 13:58:57	1.157	360.000	0.756	154.080	250.742	0.860	3.100	3.605
7/14/2010 13:58:58	1.657	360.000	0.602	207.630	250.742	0.710	2.690	3.789
7/14/2010 13:58:58	2.157	360.000	0.705	194.470	250.742	0.590	2.170	3.678
7/14/2010 13:58:59	2.657	360.000	0.637	224.420	250.742	0.670	2.580	3.851
7/14/2010 13:58:59	3.157	360.000	0.684	223.830	250.742	0.600	2.330	3.883
7/14/2010 13:59:00	3.657	360.000	0.650	243.400	250.742	0.600	2.330	3.883
7/14/2010 13:59:00	4.157	360.000	0.675	246.520	250.742	0.600	2.390	3.983
7/14/2010 13:59:01	4.657	360.000	0.649	262.350	250.742	0.660	2.560	3.879
7/14/2010 13:59:01	5.157	360.000	0.664	266.620	250.742	0.610	2.450	4.016
7/14/2010 13:59:02	5.657	360.000	0.642	280.320	250.742	0.610	2.450	4.016
7/14/2010 13:59:02	6.157	360.000	0.652	284.480	250.742	0.620	2.520	4.065
7/14/2010 13:59:03	6.657	360.000	0.639	294.100	250.742	0.630	2.560	4.063
7/14/2010 13:59:03	7.157	360.000	0.641	299.140	250.742	0.600	2.540	4.233
7/14/2010 13:59:04	7.657	360.000	0.626	308.530	250.742	0.600	2.540	4.233
7/14/2010 13:59:04	8.157	360.000	0.627	312.750	250.742	0.610	2.540	4.164
7/14/2010 13:59:05	8.657	360.000	0.616	319.790	250.742	0.610	2.580	4.230
7/14/2010 13:59:05	9.157	360.000	0.617	323.050	250.742	0.580	2.540	4.379
7/14/2010 13:59:06	9.657	360.000	0.608	328.760	250.742	0.580	2.540	4.379
7/14/2010 13:59:06	10.157	360.000	0.602	333.140	250.742	0.600	2.540	4.233
7/14/2010 13:59:07	10.658	360.000	0.592	338.550	250.742	0.570	2.580	4.526
7/14/2010 13:59:07	11.157	360.000	0.586	342.320	250.742	0.570	2.540	4.456
7/14/2010 13:59:08	11.657	360.000	0.581	345.460	250.742	0.570	2.540	4.456
7/14/2010 13:59:08	12.157	360.000	0.570	349.930	250.742	0.570	2.560	4.491
7/14/2010 13:59:09	12.658	360.000	0.576	349.210	250.742	0.540	2.450	4.537
7/14/2010 13:59:09	13.157	360.000	0.555	355.990	250.742	0.590	2.540	4.305
7/14/2010 13:59:10	13.657	360.000	0.562	355.060	250.742	0.590	2.540	4.305
7/14/2010 13:59:10	14.157	360.000	0.548	359.420	250.742	0.540	2.480	4.593
7/14/2010 13:59:11	14.658	360.000	0.552	358.760	250.742	0.520	2.410	4.635
7/14/2010 13:59:11	15.157	360.000	0.537	362.960	250.742	0.520	2.410	4.635
7/14/2010 13:59:12	15.657	360.000	0.539	362.640	250.742	0.520	2.390	4.596
7/14/2010 13:59:12	16.157	360.000	0.533	364.170	250.742	0.500	2.390	4.780
7/14/2010 13:59:13	16.658	360.000	0.527	365.720	250.742	0.500	2.390	4.780
7/14/2010 13:59:13	17.157	360.000	0.530	364.580	250.742	0.500	2.390	4.780
7/14/2010 13:59:14	17.657	360.000	0.515	368.580	250.742	0.520	2.390	4.596
7/14/2010 13:59:14	18.157	360.000	0.524	365.590	250.742	0.490	2.280	4.653
7/14/2010 13:59:15	18.658	360.000	0.514	367.700	250.742	0.480	2.330	4.854
7/14/2010 13:59:15	19.157	360.000	0.514	367.370	250.742	0.480	2.330	4.854
7/14/2010 13:59:16	19.657	360.000	0.509	368.310	250.742	0.480	2.280	4.750
7/14/2010 13:59:16	20.157	360.000	0.511	367.370	250.742	0.480	2.240	4.667
7/14/2010 13:59:17	20.658	360.000	0.503	368.930	250.742	0.480	2.280	4.750
7/14/2010 13:59:17	21.157	360.000	0.504	368.190	250.742	0.480	2.280	4.750
7/14/2010 13:59:18	21.657	360.000	0.501	368.470	250.742	0.470	2.280	4.851
7/14/2010 13:59:18	22.157	360.000	0.497	368.950	250.742	0.490	2.280	4.653
7/14/2010 13:59:19	22.658	360.000	0.499	367.880	250.742	0.460	2.240	4.870
7/14/2010 13:59:19	23.157	360.000	0.497	367.780	250.742	0.460	2.240	4.870
7/14/2010 13:59:20	23.657	360.000	0.494	368.050	250.742	0.470	2.240	4.766
7/14/2010 13:59:20	24.157	360.000	0.492	367.970	250.742	0.460	2.240	4.870
7/14/2010 13:59:21	24.657	360.000	0.490	368.080	250.742	0.460	2.240	4.870
7/14/2010 13:59:21	25.157	360.000	0.496	365.670	250.742	0.460	2.240	4.870
7/14/2010 13:59:22	25.657	360.000	0.486	367.840	250.742	0.470	2.240	4.766
7/14/2010 13:59:22	26.157	360.000	0.494	365.220	250.742	0.450	2.130	4.733
7/14/2010 13:59:23	26.657	360.000	0.484	367.400	250.742	0.490	2.220	4.531
7/14/2010 13:59:23	27.157	360.000	0.493	364.730	250.742	0.490	2.220	4.531
7/14/2010 13:59:24	27.657	360.000	0.482	367.090	250.742	0.460	2.220	4.826
7/14/2010 13:59:24	28.157	360.000	0.491	364.430	250.742	0.440	2.150	4.886
7/14/2010 13:59:25	28.657	360.000	0.481	366.580	250.742	0.480	2.240	4.667
7/14/2010 13:59:25	29.157	360.000	0.488	364.290	250.742	0.480	2.240	4.667
7/14/2010 13:59:26	29.657	360.000	0.488	363.800	250.742	0.460	2.150	4.674
7/14/2010 13:59:26	30.157	360.000	0.489	363.330	250.742	0.440	2.150	4.886
7/14/2010 13:59:27	30.657	360.000	0.488	363.100	250.742	0.450	2.150	4.778
7/14/2010 13:59:27	31.157	360.000	0.490	362.460	250.742	0.450	2.150	4.778
7/14/2010 13:59:28	31.657	360.000	0.489	362.370	250.742	0.460	2.150	4.674
7/14/2010 13:59:28	32.157	360.000	0.490	361.880	250.742	0.450	2.130	4.733
7/14/2010 13:59:29	32.657	360.000	0.482	363.940	250.742	0.480	2.220	4.625
7/14/2010 13:59:29	33.157	360.000	0.490	361.750	250.742	0.480	2.220	4.625
7/14/2010 13:59:30	33.657	360.000	0.491	361.010	250.742	0.430	2.130	4.953
7/14/2010 13:59:30	34.157	360.000	0.481	363.680	250.742	0.490	2.220	4.531
7/14/2010 13:59:31	34.657	360.000	0.490	361.240	250.742	0.460	2.130	4.630
7/14/2010 13:59:31	35.157	360.000	0.490	360.980	250.742	0.460	2.130	4.630
7/14/2010 13:59:32	35.657	360.000	0.490	360.730	250.742	0.470	2.130	4.532
7/14/2010 13:59:32	36.157	360.000	0.481	363.380	250.742	0.450	2.220	4.933
7/14/2010 13:59:33	36.657	360.000	0.490	360.600	250.742	0.450	2.220	4.933
7/14/2010 13:59:33	37.157	360.000	0.481	363.040	250.742	0.460	2.220	4.826
7/14/2010 13:59:34	37.657	360.000	0.489	360.790	250.742	0.440	2.130	4.841
7/14/2010 13:59:34	38.157	360.000	0.489	360.360	250.742	0.460	2.150	4.674
7/14/2010 13:59:35	38.657	360.000	0.489	360.240	250.742	0.460	2.150	4.674
7/14/2010 13:59:35	39.157	360.000	0.489	360.220	250.742	0.450	2.130	4.733
7/14/2010 13:59:36	39.657	360.000	0.492	359.560	250.742	0.450	2.130	4.733
7/14/2010 13:59:36	40.158	360.000	0.482	362.170	250.742	0.470	2.220	4.723
7/14/2010 13:59:37	40.657	360.000	0.491	359.680	250.742	0.470	2.220	4.723
7/14/2010 13:59:37	41.157	360.000	0.482	362.070	250.742	0.460	2.220	4.826
7/14/2010 13:59:38	41.657	360.000	0.491	359.740	250.742	0.460	2.130	4.630
7/14/2010 13:59:38	42.158	360.000	0.481	362.250	250.742	0.490	2.220	4.531
7/14/2010 13:59:39	42.657	360.000	0.490	359.920	250.742	0.490	2.220	4.531
7/14/2010 13:59:39	43.157	360.000	0.490	359.670	250.742	0.440	2.130	4.841
7/14/2010 13:59:40	43.657	360.000	0.491	359.460	250.742	0.470	2.130	4.532
7/14/2010 13:59:40	44.158	360.000	0.482	361.970	250.742	0.460	2.220	4.826
7/14/2010 13:59:41	44.657	360.000	0.490	359.640	250.742	0.460	2.220	4.826
7/14/2010 13:59:41	45.157	360.000	0.482	361.900	250.742	0.460	2.220	4.826
7/14/2010 13:59:42	45.657	360.000	0.491	359.380	250.742	0.470	2.130	4.532
7/14/2010 13:59:42	46.157	360.000	0.480	362.350	250.742	0.470	2.130	4.532
7/14/2010 13:59:43	46.657	360.000	0.493	358.660	250.742	0.450	2.090	4.644
7/14/2010 13:59:43	47.157	360.000	0.480	361.990	250.742	0.460	2.220	4.826
7/14/2010 13:59:44	47.657	360.000	0.489	359.800	250.742	0.470	2.130	4.532
7/14/2010 13:59:44	48.157	360.000	0.490	359.360	250.742	0.470	2.130	4.532
7/14/2010 13:59:45	48.657	360.000	0.489	359.470	250.742	0.440	2.130	4.841
7/14/2010 13:59:45	49.157	360.000	0.490	359.280	250.742	0.450	2.130	4.733
7/14/2010 13:59:46	49.657	360.000	0.483	361.350	250.742	0.450	2.130	4.733
7/14/2010 13:59:46	50.157	360.000	0.491	359.300	250.742	0.450	2.110	4.689
7/14/2010 13:59:47	50.657	360.000	0.482	361.670	250.742	0.470	2.220	4.723
7/14/2010 13:59:47	51.157	360.000	0.490	359.480	250.742	0.440	2.130	4.841
7/14/2010 13:59:48	51.657	360.000	0.490	359.260	250.742	0.450	2.130	4.733
7/14/2010 13:59:48	52.157	360.000	0.491	358.990	250.742	0.450	2.130	4.733
7/14/2010 13:59:49	52.657	360.000	0.483	361.240	250.742	0.480	2.220	4.625
7/14/2010 13:59:49	53.157	360.000	0.490	359.320	250.742	0.440	2.150	4.886
7/14/2010 13:59:50	53.657	360.000	0.483	361.410	250.742	0.450	2.220	4.933
7/14/2010 13:59:50	54.157	360.000	0.490	359.330	250.742	0.450	2.220	4.933
7/14/2010 13:59:51	54.657	360.000	0.481	361.870	250.742	0.480	2.220	4.625
7/14/2010 13:59:51	55.157	360.000	0.489	359.570	250.742	0.450	2.130	4.733
7/14/2010 13:59:52	55.657	360.000	0.490	359.220	250.742	0.450	2.130	4.733
7/14/2010 13:59:52	56.157	360.000	0.491	358.940	250.742	0.450	2.130	4.733
7/14/2010 13:59:53	56.657	360.000	0.482	361.570	250.742	0.470	2.220	4.723
7/14/2010 13:59:53	57.157	360.000	0.490	359.430	250.742	0.450	2.130	4.733
7/14/2010 13:59:54	57.657	360.000	0.490	359.070	250.742	0.450	2.130	4.733
7/14/2010 13:59:54	58.157	360.000	0.482	361.620	250.742	0.450	2.130	4.733
7/14/2010 13:59:55	58.657	360.000	0.490	359.350	250.742	0.470	2.130	4.532
7/14/2010 13:59:55	59.157	360.000	0.481	361.870	250.742	0.460	2.220	4.826
7/14/2010 13:59:56	59.657	360.000	0.489	359.500	250.742	0.440	2.130	4.841
7/14/2010 13:59:56	60.157	360.314	0.491	359.150	250.742	0.440	2.130	4.841
7/14/2010 13:59:57	60.657	361.314	0.485	361.790	250.742	0.460	2.220	4.826
7/14/2010 13:59:57	61.157	362.314	0.497	359.350	250.742	0.450	2.130	4.733
7/14/2010 13:59:58	61.658	363.316	0.492	361.660	250.742	0.470	2.220	4.723
7/14/2010 13:59:58	62.157	364.314	0.495	362.210	250.742	0.470	2.220	4.723
7/14/2010 13:59:59	62.657	365.314	0.497	362.660	250.742	0.480	2.220	4.625
7/14/2010 13:59:59	63.157	366.314	0.500	362.820	250.742	0.470	2.220	4.723
7/14/2010 14:00:00	63.658	367.316	0.498	364.820	250.742	0.470	2.260	4.809
7/14/2010 14:00:00	64.157	368.314	0.505	363.840	250.742	0.470	2.260	4.809
7/14/2010 14:00:01	64.657	369.314	0.504	365.350	250.742	0.460	2.260	4.913
7/14/2010 14:00:01	65.157	370.314	0.506	366.030	250.742	0.470	2.260	4.809
7/14/2010 14:00:02	65.657	371.314	0.509	366.630	250.742	0.470	2.260	4.809
7/14/2010 14:00:02	66.157	372.314	0.510	367.440	250.742	0.460	2.280	4.957
7/14/2010 14:00:03	66.657	373.314	0.508	369.380	250.742	0.470	2.300	4.894
7/14/2010 14:00:03	67.157	374.314	0.515	368.780	250.742	0.460	2.280	4.957
7/14/2010 14:00:04	67.657	375.314	0.513	370.520	250.742	0.460	2.280	4.957
7/14/2010 14:00:04	68.157	376.314	0.516	371.200	250.742	0.480	2.330	4.854
7/14/2010 14:00:05	68.657	377.314	0.518	371.890	250.742	0.490	2.330	4.755
7/14/2010 14:00:05	69.157	378.314	0.520	372.860	250.742	0.480	2.330	4.854
7/14/2010 14:00:06	69.657	379.314	0.521	373.730	250.742	0.480	2.330	4.854
7/14/2010 14:00:06	70.157	380.314	0.520	375.390	250.742	0.480	2.370	4.937
7/14/2010 14:00:07	70.657	381.314	0.522	376.480	250.742	0.500	2.390	4.780
7/14/2010 14:00:07	71.157	382.314	0.522	377.670	250.742	0.500	2.390	4.780
7/14/2010 14:00:08	71.657	383.314	0.524	378.550	250.742	0.500	2.390	4.780
7/14/2010 14:00:08	72.157	384.314	0.526	379.280	250.742	0.500	2.390	4.780
7/14/2010 14:00:09	72.657	385.314	0.528	380.090	250.742	0.480	2.410	5.021
7/14/2010 14:00:09	73.157	386.314	0.529	380.970	250.742	0.490	2.410	4.918
7/14/2010 14:00:10	73.657	387.314	0.532	381.690	250.742	0.490	2.410	4.918
7/14/2010 14:00:10	74.157	388.314	0.523	385.620	250.742	0.490	2.500	5.102
7/14/2010 14:00:11	74.657	389.314	0.534	383.760	250.742	0.510	2.410	4.725
7/14/2010 14:00:11	75.157	390.314	0.525	387.650	250.742	0.520	2.500	4.808
7/14/2010 14:00:12	75.657	391.314	0.536	385.910	250.742	0.520	2.500	4.808
7/14/2010 14:00:12	76.157	392.314	0.526	389.860	250.742	0.510	2.520	4.941
7/14/2010 14:00:13	76.657	393.314	0.539	387.650	250.742	0.510	2.410	4.725
7/14/2010 14:00:13	77.157	394.314	0.529	391.660	250.742	0.510	2.500	4.902
7/14/2010 14:00:14	77.657	395.314	0.542	389.300	250.742	0.510	2.500	4.902
7/14/2010 14:00:14	78.157	396.314	0.526	394.930	250.742	0.530	2.560	4.830
7/14/2010 14:00:15	78.657	397.314	0.544	391.400	250.742	0.490	2.430	4.959
7/14/2010 14:00:15	79.157	398.314	0.529	396.720	250.742	0.500	2.560	5.120
7/14/2010 14:00:16	79.657	399.314	0.548	392.850	250.742	0.500	2.560	5.120
7/14/2010 14:00:16	80.157	400.314	0.533	398.050	250.742	0.510	2.580	5.059
7/14/2010 14:00:17	80.657	401.314	0.539	397.800	250.742	0.510	2.540	4.980
7/14/2010 14:00:17	81.157	402.314	0.538	399.220	250.742	0.510	2.540	4.980
7/14/2010 14:00:18	81.657	403.314	0.540	399.970	250.742	0.510	2.540	4.980
7/14/2010 14:00:18	82.157	404.314	0.537	402.150	250.742	0.520	2.630	5.058
7/14/2010 14:00:19	82.657	405.314	0.543	401.770	250.742	0.520	2.560	4.923
7/14/2010 14:00:19	83.157	406.314	0.537	404.480	250.742	0.520	2.600	5.000
7/14/2010 14:00:20	83.657	407.314	0.544	403.910	250.742	0.520	2.600	5.000
7/14/2010 14:00:20	84.157	408.314	0.539	406.200	250.742	0.530	2.630	4.962
7/14/2010 14:00:21	84.657	409.314	0.545	405.750	250.742	0.520	2.580	4.962
7/14/2010 14:00:21	85.157	410.314	0.542	407.950	250.742	0.510	2.630	5.157
7/14/2010 14:00:22	85.657	411.314	0.541	409.290	250.742	0.510	2.630	5.157
7/14/2010 14:00:22	86.157	412.314	0.541	410.520	250.742	0.530	2.630	4.962
7/14/2010 14:00:23	86.657	413.314	0.544	410.900	250.742	0.510	2.650	5.196
7/14/2010 14:00:23	87.157	414.314	0.543	412.240	250.742	0.500	2.650	5.300
7/14/2010 14:00:24	87.657	415.314	0.545	412.890	250.742	0.540	2.650	4.907
7/14/2010 14:00:24	88.157	416.314	0.546	413.680	250.742	0.540	2.650	4.907
7/14/2010 14:00:25	88.657	417.314	0.546	415.000	250.742	0.510	2.670	5.235
7/14/2010 14:00:25	89.158	418.316	0.547	415.760	250.742	0.540	2.670	4.944
7/14/2010 14:00:26	89.657	419.314	0.549	416.490	250.742	0.540	2.670	4.944
7/14/2010 14:00:26	90.157	420.314	0.551	417.030	250.742	0.520	2.670	5.135
7/14/2010 14:00:27	90.657	421.314	0.546	419.750	250.742	0.520	2.730	5.250
7/14/2010 14:00:27	91.158	422.316	0.552	419.200	250.742	0.530	2.690	5.075
7/14/2010 14:00:28	91.657	423.314	0.547	421.730	250.742	0.520	2.750	5.288
7/14/2010 14:00:28	92.157	424.314	0.553	421.180	250.742	0.490	2.690	5.490
7/14/2010 14:00:29	92.657	425.314	0.550	423.300	250.742	0.490	2.690	5.490
7/14/2010 14:00:29	93.158	426.316	0.557	422.360	250.742	0.520	2.690	5.173
7/14/2010 14:00:30	93.657	427.314	0.552	424.850	250.742	0.550	2.750	5.000
7/14/2010 14:00:30	94.157	428.314	0.553	425.930	250.742	0.550	2.750	5.000
7/14/2010 14:00:31	94.657	429.314	0.554	426.870	250.742	0.490	2.780	5.673
7/14/2010 14:00:31	95.157	430.314	0.555	427.700	250.742	0.490	2.780	5.673
7/14/2010 14:00:32	95.657	431.314	0.555	428.950	250.742	0.550	2.780	5.055
7/14/2010 14:00:32	96.157	432.314	0.558	429.350	250.742	0.500	2.750	5.500
7/14/2010 14:00:33	96.657	433.314	0.558	430.380	250.742	0.540	2.800	5.185
7/14/2010 14:00:33	97.157	434.314	0.595	421.140	250.742	0.540	2.800	5.185
7/14/2010 14:00:34	97.657	435.314	0.576	427.250	250.742	0.570	3.120	5.474
7/14/2010 14:00:34	98.157	436.314	0.582	427.770	250.742	0.550	3.060	5.564
7/14/2010 14:00:35	98.657	437.314	0.576	430.900	250.742	0.550	3.120	5.673
7/14/2010 14:00:35	99.157	438.314	0.578	432.150	250.742	0.550	3.120	5.673
7/14/2010 14:00:36	99.657	439.314	0.576	434.060	250.742	0.550	3.100	5.636
7/14/2010 14:00:36	100.157	440.314	0.575	435.870	250.742	0.520	3.100	5.962
7/14/2010 14:00:37	100.657	441.314	0.574	437.700	250.742	0.540	3.120	5.778
7/14/2010 14:00:37	101.157	442.314	0.572	439.450	250.742	0.540	3.120	5.778
7/14/2010 14:00:38	101.657	443.314	0.571	441.250	250.742	0.540	3.140	5.815
7/14/2010 14:00:38	102.157	444.314	0.569	442.980	250.742	0.550	3.140	5.709
7/14/2010 14:00:39	102.657	445.314	0.575	442.430	250.742	0.530	3.030	5.717
7/14/2010 14:00:39	103.157	446.314	0.568	445.490	250.742	0.530	3.030	5.717
7/14/2010 14:00:40	103.657	447.314	0.575	444.770	250.742	0.530	3.030	5.717
7/14/2010 14:00:40	104.157	448.314	0.568	447.780	250.742	0.540	3.160	5.852
7/14/2010 14:00:41	104.657	449.314	0.575	447.000	250.742	0.510	3.060	6.000
7/14/2010 14:00:41	105.157	450.314	0.568	449.930	250.742	0.510	3.060	6.000
7/14/2010 14:00:42	105.657	451.314	0.575	449.070	250.742	0.520	3.080	5.923
7/14/2010 14:00:42	106.157	452.314	0.569	451.910	250.742	0.550	3.210	5.836
7/14/2010 14:00:43	106.657	453.314	0.576	451.060	250.742	0.530	3.080	5.811
7/14/2010 14:00:43	107.157	454.314	0.570	453.720	250.742	0.530	3.080	5.811
7/14/2010 14:00:44	107.657	455.314	0.570	455.090	250.742	0.550	3.230	5.873
7/14/2010 14:00:44	108.157	456.314	0.577	454.120	250.742	0.520	3.100	5.962
7/14/2010 14:00:45	108.658	457.316	0.570	456.900	250.742	0.540	3.230	5.981
7/14/2010 14:00:45	109.157	458.314	0.570	458.070	250.742	0.540	3.230	5.981
7/14/2010 14:00:46	109.657	459.314	0.570	459.230	250.742	0.550	3.250	5.909
7/14/2010 14:00:46	110.157	460.314	0.577	458.170	250.742	0.540	3.120	5.778
7/14/2010 14:00:47	110.658	461.316	0.571	460.880	250.742	0.560	3.250	5.804
7/14/2010 14:00:47	111.157	462.314	0.572	461.860	250.742	0.560	3.250	5.804
7/14/2010 14:00:48	111.657	463.314	0.572	462.850	250.742	0.560	3.250	5.804
7/14/2010 14:00:48	112.157	464.314	0.572	463.840	250.742	0.540	3.250	6.019
7/14/2010 14:00:49	112.658	465.316	0.573	464.750	250.742	0.540	3.250	6.019
7/14/2010 14:00:49	113.157	466.314	0.573	465.690	250.742	0.550	3.250	5.909
7/14/2010 14:00:50	113.657	467.314	0.574	466.490	250.742	0.520	3.250	6.250
7/14/2010 14:00:50	114.157	468.314	0.574	467.330	250.742	0.570	3.270	5.737
7/14/2010 14:00:51	114.657	469.314	0.576	468.070	250.742	0.570	3.270	5.737
7/14/2010 14:00:51	115.157	470.314	0.576	468.870	250.742	0.540	3.270	6.056
7/14/2010 14:00:52	115.657	471.314	0.578	469.590	250.742	0.560	3.270	5.839
7/14/2010 14:00:52	116.157	472.314	0.579	470.200	250.742	0.560	3.270	5.839
7/14/2010 14:00:53	116.657	473.314	0.581	470.890	250.742	0.560	3.270	5.839
7/14/2010 14:00:53	117.157	474.314	0.579	472.640	250.742	0.550	3.310	6.018
7/14/2010 14:00:54	117.657	475.314	0.584	472.450	250.742	0.530	3.290	6.208
7/14/2010 14:00:54	118.157	476.314	0.582	474.080	250.742	0.540	3.360	6.222
7/14/2010 14:00:55	118.657	477.314	0.583	475.050	250.742	0.540	3.360	6.222
7/14/2010 14:00:55	119.157	478.314	0.584	475.880	250.742	0.550	3.330	6.055
7/14/2010 14:00:56	119.657	479.314	0.585	476.670	250.742	0.550	3.330	6.055
7/14/2010 14:00:56	120.157	480.314	0.586	477.500	250.742	0.550	3.360	6.109
7/14/2010 14:00:57	120.657	481.314	0.588	478.290	250.742	0.550	3.360	6.109
7/14/2010 14:00:57	121.157	482.314	0.589	479.000	250.742	0.530	3.330	6.283
7/14/2010 14:00:58	121.657	483.314	0.591	479.710	250.742	0.560	3.360	6.000
7/14/2010 14:00:58	122.157	484.314	0.590	481.300	250.742	0.560	3.400	6.071
7/14/2010 14:00:59	122.657	485.314	0.594	481.240	250.742	0.560	3.400	6.071
7/14/2010 14:00:59	123.157	486.314	0.593	482.850	250.742	0.560	3.400	6.071
7/14/2010 14:01:00	123.657	487.314	0.594	483.780	250.742	0.570	3.400	5.965
7/14/2010 14:01:00	124.157	488.314	0.596	484.600	250.742	0.560	3.400	6.071
7/14/2010 14:01:01	124.657	489.314	0.597	485.420	250.742	0.560	3.400	6.071
7/14/2010 14:01:01	125.157	490.314	0.599	486.150	250.742	0.550	3.400	6.182
7/14/2010 14:01:02	125.657	491.314	0.601	486.860	250.742	0.550	3.420	6.218
7/14/2010 14:01:02	126.157	492.314	0.599	488.710	250.742	0.590	3.460	5.864
7/14/2010 14:01:03	126.657	493.314	0.604	488.550	250.742	0.590	3.460	5.864
7/14/2010 14:01:03	127.157	494.314	0.602	490.390	250.742	0.600	3.460	5.767
7/14/2010 14:01:04	127.657	495.314	0.604	491.280	250.742	0.570	3.490	6.123
7/14/2010 14:01:04	128.157	496.314	0.605	492.150	250.742	0.570	3.460	6.070
7/14/2010 14:01:05	128.657	497.314	0.607	492.980	250.742	0.570	3.460	6.070
7/14/2010 14:01:05	129.157	498.314	0.608	493.840	250.742	0.590	3.490	5.915
7/14/2010 14:01:06	129.657	499.314	0.610	494.570	250.742	0.580	3.490	6.017
7/14/2010 14:01:06	130.157	500.314	0.608	496.540	250.742	0.590	3.530	5.983
7/14/2010 14:01:07	130.657	501.314	0.614	496.280	250.742	0.590	3.530	5.983
7/14/2010 14:01:07	131.157	502.314	0.612	498.130	250.742	0.580	3.490	6.017
7/14/2010 14:01:08	131.657	503.314	0.613	498.960	250.742	0.560	3.490	6.232
7/14/2010 14:01:08	132.157	504.314	0.615	499.710	250.742	0.590	3.490	5.915
7/14/2010 14:01:09	132.657	505.314	0.618	500.400	250.742	0.590	3.490	5.915
7/14/2010 14:01:09	133.157	506.314	0.620	501.120	250.742	0.590	3.490	5.915
7/14/2010 14:01:10	133.657	507.314	0.622	501.720	250.742	0.590	3.490	5.915
7/14/2010 14:01:10	134.157	508.314	0.618	504.370	250.742	0.590	3.570	6.051
7/14/2010 14:01:11	134.657	509.314	0.626	503.490	250.742	0.590	3.570	6.051
7/14/2010 14:01:11	135.157	510.314	0.621	506.130	250.742	0.600	3.570	5.950
7/14/2010 14:01:12	135.657	511.314	0.622	507.180	250.742	0.590	3.590	6.085
7/14/2010 14:01:12	136.157	512.314	0.623	508.260	250.742	0.610	3.590	5.885
