==Experiment Metadata==
Software Version::TPD Controller v1.0
Data Saved::Wed, Jul 14, 2010 14:11:31
Sample::JRS0032
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Sample flashed, but not outgassed. Gain lowered

==Hardware Parameters==
Start Time::Wed, Jul 14, 2010 14:07:49
Data Points::421
Sample Start Temperature (Thermocouple) [C]::47.78300
Current Limit [A]::5.00000
Temperature Limit [C]::800.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0015000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	360.00
60.00	360.00
210.00	660.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/14/2010 14:07:49	0.000	360.000	0.468	47.783	0.000	0.000	0.050	Inf
7/14/2010 14:07:49	0.748	360.000	0.409	116.330	250.192	0.440	1.600	3.636
7/14/2010 14:07:50	1.248	360.000	0.452	113.880	250.192	0.440	1.600	3.636
7/14/2010 14:07:50	1.748	360.000	0.460	126.510	250.192	0.440	1.570	3.568
7/14/2010 14:07:51	2.249	360.000	0.479	133.710	250.192	0.430	1.600	3.721
7/14/2010 14:07:51	2.748	360.000	0.496	141.040	250.192	0.440	1.640	3.727
7/14/2010 14:07:52	3.248	360.000	0.508	150.780	250.192	0.440	1.640	3.727
7/14/2010 14:07:52	3.748	360.000	0.522	158.790	250.192	0.480	1.770	3.687
7/14/2010 14:07:53	4.248	360.000	0.532	168.190	250.192	0.480	1.810	3.771
7/14/2010 14:07:53	4.748	360.000	0.541	177.630	250.192	0.520	1.850	3.558
7/14/2010 14:07:54	5.248	360.000	0.551	186.250	250.192	0.520	1.850	3.558
7/14/2010 14:07:54	5.748	360.000	0.559	194.990	250.192	0.530	1.940	3.660
7/14/2010 14:07:55	6.248	360.000	0.568	202.470	250.192	0.530	1.960	3.698
7/14/2010 14:07:55	6.748	360.000	0.575	210.770	250.192	0.530	1.980	3.736
7/14/2010 14:07:56	7.248	360.000	0.577	220.810	250.192	0.530	1.980	3.736
7/14/2010 14:07:56	7.748	360.000	0.584	228.200	250.192	0.540	2.070	3.833
7/14/2010 14:07:57	8.248	360.000	0.586	236.810	250.192	0.540	2.110	3.907
7/14/2010 14:07:57	8.748	360.000	0.591	243.870	250.192	0.560	2.130	3.804
7/14/2010 14:07:58	9.248	360.000	0.592	252.080	250.192	0.560	2.130	3.804
7/14/2010 14:07:58	9.748	360.000	0.595	259.130	250.192	0.590	2.200	3.729
7/14/2010 14:07:59	10.248	360.000	0.597	265.880	250.192	0.550	2.220	4.036
7/14/2010 14:07:59	10.748	360.000	0.599	272.220	250.192	0.560	2.220	3.964
7/14/2010 14:08:00	11.248	360.000	0.600	278.420	250.192	0.560	2.220	3.964
7/14/2010 14:08:00	11.748	360.000	0.598	286.080	250.192	0.590	2.300	3.898
7/14/2010 14:08:01	12.248	360.000	0.601	290.820	250.192	0.570	2.280	4.000
7/14/2010 14:08:01	12.748	360.000	0.598	298.100	250.192	0.580	2.350	4.052
7/14/2010 14:08:02	13.248	360.000	0.599	302.310	250.192	0.580	2.350	4.052
7/14/2010 14:08:02	13.748	360.000	0.597	307.980	250.192	0.570	2.390	4.193
7/14/2010 14:08:03	14.248	360.000	0.595	313.540	250.192	0.580	2.390	4.121
7/14/2010 14:08:03	14.748	360.000	0.593	318.980	250.192	0.550	2.430	4.418
7/14/2010 14:08:04	15.248	360.000	0.590	323.960	250.192	0.550	2.430	4.418
7/14/2010 14:08:04	15.748	360.000	0.586	329.240	250.192	0.570	2.480	4.351
7/14/2010 14:08:05	16.248	360.000	0.585	332.810	250.192	0.540	2.450	4.537
7/14/2010 14:08:05	16.748	360.000	0.581	337.570	250.192	0.560	2.480	4.429
7/14/2010 14:08:06	17.248	360.000	0.576	342.120	250.192	0.560	2.480	4.429
7/14/2010 14:08:06	17.749	360.000	0.574	344.920	250.192	0.540	2.480	4.593
7/14/2010 14:08:07	18.248	360.000	0.570	348.950	250.192	0.550	2.500	4.545
7/14/2010 14:08:07	18.748	360.000	0.569	350.380	250.192	0.550	2.500	4.545
7/14/2010 14:08:08	19.248	360.000	0.568	352.020	250.192	0.550	2.560	4.655
7/14/2010 14:08:08	19.749	360.000	0.562	356.250	250.192	0.520	2.580	4.962
7/14/2010 14:08:09	20.248	360.000	0.556	360.090	250.192	0.540	2.480	4.593
7/14/2010 14:08:09	20.748	360.000	0.554	361.660	250.192	0.530	2.500	4.717
7/14/2010 14:08:10	21.248	360.000	0.550	364.070	250.192	0.530	2.500	4.717
7/14/2010 14:08:10	21.749	360.000	0.545	367.130	250.192	0.520	2.580	4.962
7/14/2010 14:08:11	22.248	360.000	0.542	368.500	250.192	0.530	2.560	4.830
7/14/2010 14:08:11	22.748	360.000	0.537	371.240	250.192	0.550	2.580	4.691
7/14/2010 14:08:12	23.248	360.000	0.534	372.140	250.192	0.550	2.580	4.691
7/14/2010 14:08:12	23.749	360.000	0.529	374.260	250.192	0.500	2.540	5.080
7/14/2010 14:08:13	24.248	360.000	0.529	373.210	250.192	0.480	2.450	5.104
7/14/2010 14:08:13	24.748	360.000	0.525	374.690	250.192	0.490	2.450	5.000
