==Experiment Metadata==
Software Version::TPD Controller v1.0
Data Saved::Wed, Jul 14, 2010 14:49:06
Sample::JRS0032
Experimenter Name::CHeidelberger
Experiment Type::Temp Control System Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing Tuning Parameters

==Hardware Parameters==
Start Time::Wed, Jul 14, 2010 14:44:53
Data Points::422
Sample Start Temperature (Thermocouple) [C]::39.46600
Current Limit [A]::5.00000
Temperature Limit [C]::800.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0030000	0.1000000	0.0005000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	350.00
60.00	350.00
210.00	650.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/14/2010 14:44:53	0.000	350.000	0.932	39.466	0.000	0.000	0.010	Inf
7/14/2010 14:44:53	0.343	350.000	0.984	39.461	250.150	0.000	0.010	Inf
7/14/2010 14:44:54	0.843	350.000	0.498	209.930	250.150	0.940	4.770	5.074
7/14/2010 14:44:54	1.343	350.000	0.734	158.370	250.150	0.480	2.200	4.583
7/14/2010 14:44:55	1.843	350.000	0.604	209.410	250.150	0.670	3.360	5.015
7/14/2010 14:44:55	2.343	350.000	0.660	206.000	250.150	0.590	2.750	4.661
7/14/2010 14:44:56	2.843	350.000	0.625	227.150	250.150	0.590	2.750	4.661
7/14/2010 14:44:56	3.343	350.000	0.625	237.670	250.150	0.580	3.030	5.224
7/14/2010 14:44:57	3.843	350.000	0.613	250.190	250.150	0.600	3.100	5.167
7/14/2010 14:44:57	4.343	350.000	0.607	260.230	250.150	0.570	3.100	5.439
7/14/2010 14:44:58	4.843	350.000	0.598	270.340	250.150	0.570	3.100	5.439
7/14/2010 14:44:58	5.343	350.000	0.590	279.460	250.150	0.570	3.120	5.474
7/14/2010 14:44:59	5.843	350.000	0.580	288.360	250.150	0.560	3.140	5.607
7/14/2010 14:44:59	6.343	350.000	0.570	296.370	250.150	0.570	3.100	5.439
7/14/2010 14:45:00	6.843	350.000	0.552	306.300	250.150	0.570	3.100	5.439
7/14/2010 14:45:00	7.343	350.000	0.553	309.820	250.150	0.520	2.820	5.423
7/14/2010 14:45:01	7.843	350.000	0.543	316.180	250.150	0.530	2.800	5.283
