==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 08:36:44
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp. Control Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing new sample holder and sample.

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 08:35:32
Data Points::35
Sample Start Temperature (Thermocouple) [C]::143.77000
Current Limit [A]::5.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0030000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	450.00
60.00	450.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 08:35:32	0.000	450.000	0.919	143.770	263.672	0.000	0.050	Inf
7/26/2010 08:35:32	0.644	450.000	1.123	113.020	251.923	0.880	11.370	12.920
7/26/2010 08:35:33	1.144	450.000	1.019	164.710	255.432	1.090	10.920	10.018
7/26/2010 08:35:33	1.644	450.000	0.783	258.130	270.996	0.980	10.010	10.214
7/26/2010 08:35:34	2.144	450.000	0.410	388.450	294.037	0.980	10.010	10.214
7/26/2010 08:35:34	2.644	450.000	0.326	430.640	331.268	0.250	6.600	26.400
7/26/2010 08:35:35	3.144	450.000	0.315	439.360	374.176	0.310	6.380	20.581
7/26/2010 08:35:35	3.644	450.000	0.322	439.130	413.330	0.410	6.340	15.463
7/26/2010 08:35:36	4.144	450.000	0.291	448.760	442.200	0.410	6.340	15.463
7/26/2010 08:35:36	4.644	450.000	0.269	456.150	457.764	0.410	6.410	15.634
7/26/2010 08:35:37	5.144	450.000	0.205	474.880	461.273	0.340	6.360	18.706
7/26/2010 08:35:37	5.644	450.000	0.230	467.760	464.355	0.370	6.340	17.135
7/26/2010 08:35:38	6.144	450.000	0.214	470.450	467.682	0.370	6.340	17.135
7/26/2010 08:35:38	6.644	450.000	0.202	472.760	470.947	0.380	6.300	16.579
7/26/2010 08:35:39	7.144	450.000	0.181	477.240	474.304	0.360	6.280	17.444
7/26/2010 08:35:39	7.644	450.000	0.170	478.830	477.539	0.400	6.260	15.650
7/26/2010 08:35:40	8.144	450.000	0.151	482.370	480.408	0.400	6.260	15.650
7/26/2010 08:35:40	8.644	450.000	0.169	475.480	482.727	0.330	6.080	18.424
7/26/2010 08:35:41	9.144	450.000	0.153	477.310	484.589	0.380	6.230	16.395
7/26/2010 08:35:41	9.644	450.000	0.115	486.620	485.901	0.320	6.210	19.406
7/26/2010 08:35:42	10.144	450.000	0.104	487.980	487.061	0.320	6.210	19.406
7/26/2010 08:35:42	10.644	450.000	0.090	489.610	488.434	0.370	6.210	16.784
7/26/2010 08:35:43	11.144	450.000	0.076	490.870	489.868	0.340	6.210	18.265
7/26/2010 08:35:43	11.644	450.000	0.065	491.130	491.119	0.430	6.170	14.349
7/26/2010 08:35:44	12.144	450.000	0.057	490.530	492.706	0.430	6.170	14.349
7/26/2010 08:35:44	12.644	450.000	0.039	492.840	493.774	0.410	6.150	15.000
7/26/2010 08:35:45	13.144	450.000	0.029	492.710	494.751	0.350	6.150	17.571
7/26/2010 08:35:45	13.644	450.000	0.023	491.520	495.667	0.340	6.110	17.971
7/26/2010 08:35:46	14.144	450.000	0.015	490.740	496.429	0.340	6.110	17.971
7/26/2010 08:35:46	14.644	450.000	0.002	491.290	497.131	0.350	6.080	17.371
7/26/2010 08:35:47	15.144	450.000	0.000	492.890	498.077	0.410	6.080	14.829
7/26/2010 08:35:47	15.644	450.000	0.000	494.020	498.535	0.420	6.060	14.429
7/26/2010 08:35:48	16.144	450.000	0.000	493.850	499.023	0.420	6.060	14.429
7/26/2010 08:35:48	16.644	450.000	0.000	494.080	499.664	0.380	6.060	15.947
7/26/2010 08:35:49	17.144	450.000	0.000	494.110	500.061	0.340	6.060	17.824
