==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 08:41:47
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp. Control Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing new sample holder and sample.

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 08:39:39
Data Points::88
Sample Start Temperature (Thermocouple) [C]::246.54000
Current Limit [A]::5.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0015000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	550.00
10.00	550.00
185.00	900.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 08:39:39	0.000	500.000	0.382	245.490	465.485	0.010	0.050	5.000
7/26/2010 08:39:39	0.456	500.000	0.334	289.180	415.314	0.010	0.050	5.000
7/26/2010 08:39:40	0.956	500.000	0.243	361.230	361.847	0.440	7.010	15.932
7/26/2010 08:39:40	1.456	500.000	0.264	367.010	309.998	0.280	7.010	25.036
7/26/2010 08:39:41	1.956	500.000	0.261	378.930	262.329	0.200	7.050	35.250
7/26/2010 08:39:41	2.456	500.000	0.258	390.220	273.560	0.200	7.050	35.250
7/26/2010 08:39:42	2.956	500.000	0.256	400.430	287.079	0.210	7.010	33.381
7/26/2010 08:39:42	3.456	500.000	0.255	409.020	304.535	0.270	6.990	25.889
7/26/2010 08:39:43	3.956	500.000	0.252	418.380	325.928	0.470	6.810	14.489
7/26/2010 08:39:43	4.456	500.000	0.256	423.120	344.635	0.470	6.810	14.489
7/26/2010 08:39:44	4.956	500.000	0.252	431.160	357.391	0.270	6.620	24.519
7/26/2010 08:39:44	5.456	500.000	0.254	436.110	370.544	0.440	6.600	15.000
7/26/2010 08:39:45	5.956	500.000	0.276	428.190	385.468	0.390	6.470	16.590
7/26/2010 08:39:45	6.456	500.000	0.278	431.320	395.721	0.390	6.470	16.590
7/26/2010 08:39:46	6.956	500.000	0.284	433.390	405.243	0.380	6.280	16.526
7/26/2010 08:39:46	7.456	500.000	0.251	457.260	416.382	0.400	6.430	16.075
7/26/2010 08:39:47	7.956	500.000	0.267	453.890	423.645	0.340	6.280	18.471
7/26/2010 08:39:47	8.456	500.000	0.271	454.160	429.626	0.340	6.280	18.471
7/26/2010 08:39:48	8.956	500.000	0.271	457.760	435.760	0.330	6.260	18.970
7/26/2010 08:39:48	9.456	500.000	0.266	463.700	442.108	0.410	6.210	15.146
7/26/2010 08:39:49	9.956	500.000	0.262	469.490	448.334	0.370	6.320	17.081
7/26/2010 08:39:49	10.456	500.912	0.270	468.240	453.705	0.370	6.320	17.081
7/26/2010 08:39:50	10.956	501.912	0.260	477.150	458.588	0.390	6.300	16.154
7/26/2010 08:39:50	11.456	502.912	0.259	481.540	462.952	0.340	6.300	18.529
7/26/2010 08:39:51	11.956	503.912	0.258	484.770	466.675	0.330	6.320	19.152
7/26/2010 08:39:51	12.456	504.912	0.260	486.520	469.818	0.330	6.320	19.152
7/26/2010 08:39:52	12.956	505.912	0.260	488.440	473.267	0.420	6.260	14.905
7/26/2010 08:39:52	13.456	506.912	0.263	489.210	476.685	0.390	6.230	15.974
7/26/2010 08:39:53	13.956	507.912	0.260	493.180	480.072	0.420	6.260	14.905
7/26/2010 08:39:53	14.456	508.912	0.261	495.000	482.758	0.420	6.260	14.905
7/26/2010 08:39:54	14.956	509.912	0.264	495.680	485.260	0.410	6.210	15.146
7/26/2010 08:39:54	15.456	510.912	0.268	495.260	487.061	0.380	6.190	16.289
7/26/2010 08:39:55	15.956	511.912	0.267	497.630	488.586	0.420	6.190	14.738
7/26/2010 08:39:55	16.456	512.912	0.266	500.600	490.112	0.420	6.190	14.738
7/26/2010 08:39:56	16.956	513.912	0.267	502.240	491.821	0.400	6.170	15.425
7/26/2010 08:39:56	17.456	514.912	0.274	499.840	493.286	0.340	6.170	18.147
7/26/2010 08:39:57	17.956	515.912	0.276	500.170	495.056	0.330	6.150	18.636
7/26/2010 08:39:57	18.456	516.912	0.280	499.980	496.582	0.330	6.150	18.636
7/26/2010 08:39:58	18.956	517.912	0.283	500.670	497.528	0.390	6.150	15.769
7/26/2010 08:39:58	19.456	518.912	0.286	501.250	498.322	0.340	6.130	18.029
7/26/2010 08:39:59	19.956	519.912	0.289	501.370	499.146	0.390	6.110	15.667
7/26/2010 08:39:59	20.456	520.912	0.293	501.600	499.664	0.390	6.110	15.667
7/26/2010 08:40:00	20.956	521.912	0.298	501.080	500.092	0.430	6.110	14.209
7/26/2010 08:40:00	21.456	522.912	0.302	501.190	500.641	0.360	6.110	16.972
7/26/2010 08:40:01	21.956	523.912	0.308	500.100	501.068	0.400	6.080	15.200
7/26/2010 08:40:01	22.456	524.912	0.309	501.710	501.099	0.400	6.080	15.200
7/26/2010 08:40:02	22.956	525.912	0.315	501.190	501.343	0.350	6.080	17.371
7/26/2010 08:40:02	23.456	526.912	0.321	500.090	501.709	0.390	6.080	15.590
7/26/2010 08:40:03	23.956	527.912	0.322	502.670	502.136	0.430	6.080	14.140
7/26/2010 08:40:03	24.456	528.912	0.328	502.070	502.350	0.430	6.080	14.140
7/26/2010 08:40:04	24.956	529.912	0.332	502.740	502.716	0.350	6.080	17.371
7/26/2010 08:40:04	25.456	530.912	0.337	502.360	503.021	0.380	6.080	16.000
7/26/2010 08:40:05	25.956	531.912	0.341	503.030	503.204	0.340	6.080	17.882
7/26/2010 08:40:05	26.456	532.912	0.347	502.520	502.991	0.340	6.080	17.882
7/26/2010 08:40:06	26.956	533.912	0.353	502.430	503.082	0.400	6.080	15.200
7/26/2010 08:40:06	27.456	534.912	0.358	502.350	503.204	0.350	6.060	17.314
7/26/2010 08:40:07	27.956	535.912	0.363	503.040	503.357	0.420	6.080	14.476
7/26/2010 08:40:07	28.456	536.912	0.369	502.730	503.174	0.420	6.080	14.476
7/26/2010 08:40:08	28.956	537.912	0.374	503.430	503.510	0.360	6.080	16.889
7/26/2010 08:40:08	29.456	538.912	0.381	502.700	503.510	0.420	6.080	14.476
7/26/2010 08:40:09	29.956	539.912	0.384	504.570	503.021	0.420	6.080	14.476
7/26/2010 08:40:09	30.456	540.912	0.392	503.640	503.265	0.320	6.130	19.156
7/26/2010 08:40:10	30.956	541.912	0.396	504.880	503.601	0.340	6.110	17.971
7/26/2010 08:40:10	31.456	542.912	0.403	504.520	503.754	0.320	6.110	19.094
7/26/2010 08:40:11	31.956	543.912	0.410	504.120	503.876	0.320	6.110	19.094
7/26/2010 08:40:11	32.456	544.912	0.415	504.790	504.578	0.320	6.110	19.094
7/26/2010 08:40:12	32.956	545.912	0.414	509.220	504.486	0.340	6.150	18.088
7/26/2010 08:40:12	33.456	546.912	0.419	510.110	504.578	0.330	6.130	18.576
7/26/2010 08:40:13	33.956	547.912	0.428	508.690	504.852	0.410	6.130	14.951
7/26/2010 08:40:13	34.456	548.912	0.424	514.450	505.005	0.410	6.130	14.951
7/26/2010 08:40:14	34.956	549.912	0.432	514.160	505.585	0.410	6.210	15.146
7/26/2010 08:40:14	35.456	550.912	0.427	520.280	506.409	0.420	6.260	14.905
7/26/2010 08:40:15	35.956	551.912	0.444	514.150	507.568	0.420	6.260	14.905
7/26/2010 08:40:15	36.456	552.912	0.413	535.180	508.606	0.460	6.360	13.826
7/26/2010 08:40:16	36.956	553.912	0.457	514.160	510.193	0.340	6.110	17.971
7/26/2010 08:40:16	37.456	554.912	0.402	547.070	511.475	0.310	6.430	20.742
7/26/2010 08:40:17	37.956	555.912	0.476	509.830	512.848	0.350	6.060	17.314
7/26/2010 08:40:17	38.456	556.912	0.391	558.810	513.733	0.350	6.060	17.314
7/26/2010 08:40:18	38.956	557.912	0.482	512.340	515.045	0.320	6.060	18.937
7/26/2010 08:40:18	39.456	558.912	0.390	564.600	516.174	0.380	6.530	17.184
7/26/2010 08:40:19	39.956	559.912	0.490	512.750	517.212	0.320	6.040	18.875
7/26/2010 08:40:19	40.456	560.912	0.378	576.030	518.555	0.320	6.040	18.875
7/26/2010 08:40:20	40.956	561.912	0.500	512.800	520.569	0.340	5.910	17.382
7/26/2010 08:40:20	41.456	562.912	0.393	571.780	521.759	0.490	6.690	13.653
7/26/2010 08:40:21	41.956	563.912	0.500	516.780	523.315	0.430	6.080	14.140
7/26/2010 08:40:21	42.456	564.912	0.384	581.960	524.445	0.430	6.080	14.140
7/26/2010 08:40:22	42.956	565.912	0.508	517.370	525.421	0.410	5.980	14.585
7/26/2010 08:40:22	43.456	566.912	0.387	584.360	525.879	0.550	6.690	12.164
