==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 08:57:49
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Tests
Chamber::Prep
Thermocouple Type::K
Notes::Testing new sample and new sample holder.

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 08:56:55
Data Points::94
Sample Start Temperature (Thermocouple) [C]::95.54200
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0015000	0.1000000	0.0005000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	500.00
10.00	500.00
185.00	850.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 08:56:55	0.000	500.000	0.607	95.262	666.229	0.000	0.050	Inf
7/26/2010 08:56:56	0.374	500.000	0.646	94.782	559.143	0.000	0.050	Inf
7/26/2010 08:56:56	0.874	500.000	0.587	160.970	453.888	0.610	9.630	15.787
7/26/2010 08:56:57	1.374	500.000	0.546	214.920	351.898	0.540	8.660	16.037
7/26/2010 08:56:57	1.874	500.000	0.493	271.720	246.521	0.510	8.230	16.137
7/26/2010 08:56:58	2.374	500.000	0.447	319.710	251.526	0.510	8.230	16.137
7/26/2010 08:56:58	2.874	500.000	0.391	369.500	261.200	0.430	7.390	17.186
7/26/2010 08:56:59	3.374	500.000	0.447	348.480	270.020	0.250	6.920	27.680
7/26/2010 08:56:59	3.874	500.000	0.382	398.200	283.905	0.430	7.370	17.140
7/26/2010 08:57:00	4.374	500.000	0.435	376.450	302.429	0.430	7.370	17.140
7/26/2010 08:57:00	4.874	500.000	0.395	409.000	316.559	0.460	7.200	15.652
7/26/2010 08:57:01	5.374	500.000	0.421	401.780	333.313	0.210	6.940	33.048
7/26/2010 08:57:01	5.874	500.000	0.388	428.720	354.279	0.450	7.140	15.867
7/26/2010 08:57:02	6.374	500.000	0.404	425.930	366.089	0.450	7.140	15.867
