==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 09:03:41
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing gain scheduling

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 09:02:55
Data Points::63
Sample Start Temperature (Thermocouple) [C]::27.86100
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxResistance[ohms]
0.0015000	0.2000000	0.0005000	10.00
0.0007500	0.1000000	0.0005000	1000.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	500.00
10.00	500.00
210.00	900.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 09:02:55	0.000	500.000	0.708	27.894	240.784	0.000	0.050	Inf
7/26/2010 09:02:56	0.527	500.000	0.708	34.269	238.419	0.660	10.790	16.348
7/26/2010 09:02:56	1.027	500.000	0.688	93.742	243.174	0.660	10.380	15.727
7/26/2010 09:02:57	1.527	500.000	0.642	183.520	246.429	0.660	10.380	15.727
7/26/2010 09:02:57	2.027	500.000	0.607	254.600	244.843	0.610	9.580	15.705
7/26/2010 09:02:58	2.527	500.000	0.596	290.640	250.488	0.570	8.980	15.754
7/26/2010 09:02:58	3.027	500.000	0.590	316.420	267.639	0.560	8.510	15.196
7/26/2010 09:02:59	3.527	500.000	0.571	354.330	290.863	0.560	8.510	15.196
7/26/2010 09:02:59	4.027	500.000	0.550	392.080	318.176	0.540	8.170	15.130
7/26/2010 09:03:00	4.527	500.000	0.530	427.240	352.600	0.510	7.970	15.627
7/26/2010 09:03:00	5.027	500.000	0.510	458.180	385.376	0.480	7.740	16.125
7/26/2010 09:03:01	5.527	500.000	0.498	477.560	410.736	0.480	7.740	16.125
7/26/2010 09:03:01	6.027	500.000	0.482	499.870	431.122	0.460	7.420	16.130
7/26/2010 09:03:02	6.527	500.000	0.468	518.800	448.914	0.470	7.220	15.362
7/26/2010 09:03:02	7.027	500.000	0.463	524.060	464.691	0.360	7.070	19.639
7/26/2010 09:03:03	7.527	500.000	0.461	525.470	475.891	0.360	7.070	19.639
7/26/2010 09:03:03	8.027	500.000	0.455	530.810	486.084	0.480	6.990	14.563
7/26/2010 09:03:04	8.527	500.000	0.453	530.870	492.706	0.410	6.860	16.732
7/26/2010 09:03:04	9.027	500.000	0.449	533.560	497.833	0.410	6.860	16.732
7/26/2010 09:03:05	9.527	500.000	0.456	522.870	502.625	0.410	6.860	16.732
7/26/2010 09:03:05	10.027	500.054	0.440	539.230	508.057	0.390	6.790	17.410
7/26/2010 09:03:06	10.527	501.054	0.441	537.280	511.871	0.510	6.710	13.157
7/26/2010 09:03:06	11.027	502.054	0.452	521.650	515.289	0.340	6.410	18.853
7/26/2010 09:03:07	11.527	503.054	0.446	527.510	517.853	0.340	6.410	18.853
7/26/2010 09:03:07	12.027	504.054	0.454	517.110	519.714	0.370	6.360	17.189
7/26/2010 09:03:08	12.527	505.054	0.446	526.170	521.179	0.440	6.410	14.568
7/26/2010 09:03:08	13.027	506.054	0.454	516.890	522.430	0.400	6.320	15.800
7/26/2010 09:03:09	13.527	507.054	0.444	528.380	523.224	0.400	6.320	15.800
7/26/2010 09:03:09	14.027	508.054	0.452	518.690	524.109	0.450	6.340	14.089
7/26/2010 09:03:10	14.527	509.054	0.441	531.250	524.384	0.400	6.380	15.950
7/26/2010 09:03:10	15.027	510.054	0.445	527.140	524.780	0.390	6.340	16.256
7/26/2010 09:03:11	15.527	511.054	0.447	523.930	524.597	0.390	6.340	16.256
7/26/2010 09:03:11	16.027	512.054	0.445	526.120	524.414	0.310	6.360	20.516
7/26/2010 09:03:12	16.527	513.054	0.442	529.080	524.719	0.420	6.380	15.190
7/26/2010 09:03:12	17.027	514.054	0.441	530.810	525.146	0.480	6.360	13.250
7/26/2010 09:03:13	17.527	515.054	0.438	533.580	525.421	0.480	6.360	13.250
7/26/2010 09:03:13	18.027	516.054	0.452	516.410	525.787	0.380	6.260	16.474
7/26/2010 09:03:14	18.527	517.054	0.433	539.730	526.276	0.520	6.450	12.404
