==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 09:07:28
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing gain scheduling. Gain as a function of T.

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 09:04:18
Data Points::358
Sample Start Temperature (Thermocouple) [C]::75.94900
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxResistance[ohms]
0.0010000	0.2000000	0.0005000	10.00
0.0005000	0.1000000	0.0005000	1000.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	500.00
10.00	500.00
210.00	900.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 09:04:18	0.000	500.000	0.424	75.764	470.306	0.000	0.050	Inf
7/26/2010 09:04:18	0.355	500.000	0.424	75.247	417.480	0.000	0.050	Inf
7/26/2010 09:04:19	0.855	500.000	0.367	210.690	362.793	0.440	6.960	15.818
7/26/2010 09:04:19	1.355	500.000	0.358	257.130	304.901	0.370	7.910	21.378
7/26/2010 09:04:20	1.855	500.000	0.374	248.770	249.084	0.370	7.910	21.378
7/26/2010 09:04:20	2.355	500.000	0.367	279.800	252.533	0.370	7.870	21.270
7/26/2010 09:04:21	2.855	500.000	0.365	302.490	249.115	0.410	7.520	18.341
7/26/2010 09:04:21	3.355	500.000	0.360	327.310	246.063	0.380	7.650	20.132
7/26/2010 09:04:22	3.855	500.000	0.357	347.770	245.270	0.380	7.650	20.132
7/26/2010 09:04:22	4.355	500.000	0.368	339.140	251.465	0.370	7.820	21.135
7/26/2010 09:04:23	4.855	500.000	0.352	381.060	254.364	0.370	7.780	21.027
7/26/2010 09:04:23	5.355	500.000	0.349	397.650	267.944	0.370	7.650	20.676
7/26/2010 09:04:24	5.855	500.000	0.347	410.130	287.018	0.370	7.650	20.676
7/26/2010 09:04:24	6.355	500.000	0.347	417.280	309.662	0.430	7.350	17.093
7/26/2010 09:04:25	6.855	500.000	0.353	412.980	327.087	0.300	7.140	23.800
7/26/2010 09:04:25	7.355	500.000	0.352	420.920	347.076	0.460	7.140	15.522
7/26/2010 09:04:26	7.855	500.000	0.345	439.970	362.732	0.460	7.140	15.522
7/26/2010 09:04:26	8.355	500.000	0.349	438.920	375.183	0.300	7.030	23.433
7/26/2010 09:04:27	8.855	500.000	0.357	428.860	387.970	0.350	6.620	18.914
7/26/2010 09:04:27	9.355	500.000	0.350	446.480	396.942	0.350	6.620	18.914
7/26/2010 09:04:28	9.855	500.000	0.349	452.130	406.769	0.390	6.750	17.308
7/26/2010 09:04:28	10.355	500.710	0.349	457.110	416.077	0.480	6.710	13.979
7/26/2010 09:04:29	10.855	501.710	0.351	457.520	425.385	0.490	6.580	13.429
7/26/2010 09:04:29	11.355	502.710	0.351	462.760	432.892	0.470	6.640	14.128
7/26/2010 09:04:30	11.855	503.710	0.349	470.330	440.857	0.450	6.620	14.711
7/26/2010 09:04:30	12.355	504.710	0.354	465.600	447.845	0.450	6.620	14.711
7/26/2010 09:04:31	12.855	505.710	0.358	461.320	452.576	0.430	6.380	14.837
7/26/2010 09:04:31	13.355	506.710	0.356	469.180	457.062	0.280	6.410	22.893
7/26/2010 09:04:32	13.855	507.710	0.360	465.930	461.578	0.280	6.410	22.893
7/26/2010 09:04:32	14.355	508.710	0.362	466.070	465.698	0.380	6.300	16.579
7/26/2010 09:04:33	14.855	509.710	0.364	467.360	469.452	0.330	6.280	19.030
7/26/2010 09:04:33	15.355	510.710	0.365	470.070	472.839	0.410	6.300	15.366
7/26/2010 09:04:34	15.855	511.710	0.366	471.920	476.013	0.410	6.300	15.366
7/26/2010 09:04:34	16.355	512.710	0.366	476.670	478.333	0.350	6.300	18.000
7/26/2010 09:04:35	16.855	513.710	0.367	477.510	480.469	0.420	6.260	14.905
7/26/2010 09:04:35	17.355	514.710	0.369	478.810	482.178	0.390	6.280	16.103
7/26/2010 09:04:36	17.855	515.710	0.371	478.320	484.711	0.420	6.260	14.905
7/26/2010 09:04:36	18.355	516.710	0.373	479.160	486.481	0.420	6.260	14.905
7/26/2010 09:04:37	18.855	517.710	0.373	482.490	488.129	0.360	6.360	17.667
7/26/2010 09:04:37	19.355	518.710	0.370	490.770	489.960	0.360	6.340	17.611
7/26/2010 09:04:38	19.855	519.710	0.373	488.990	491.516	0.360	6.340	17.611
7/26/2010 09:04:38	20.355	520.710	0.374	491.260	492.004	0.360	6.340	17.611
7/26/2010 09:04:39	20.855	521.710	0.377	489.540	493.164	0.330	6.300	19.091
7/26/2010 09:04:39	21.355	522.710	0.377	491.270	494.385	0.410	6.300	15.366
7/26/2010 09:04:40	21.855	523.710	0.379	492.560	495.209	0.380	6.300	16.579
7/26/2010 09:04:40	22.355	524.710	0.381	491.650	496.613	0.380	6.300	16.579
7/26/2010 09:04:41	22.855	525.710	0.383	491.520	497.711	0.380	6.280	16.526
7/26/2010 09:04:41	23.355	526.710	0.384	493.590	498.627	0.360	6.280	17.444
7/26/2010 09:04:42	23.855	527.710	0.386	492.120	499.359	0.330	6.280	19.030
7/26/2010 09:04:42	24.355	528.710	0.388	493.250	499.908	0.430	6.260	14.558
7/26/2010 09:04:43	24.855	529.710	0.389	493.820	500.336	0.430	6.260	14.558
7/26/2010 09:04:43	25.355	530.710	0.391	494.990	500.732	0.420	6.260	14.905
7/26/2010 09:04:44	25.855	531.710	0.393	495.050	501.190	0.340	6.280	18.471
7/26/2010 09:04:44	26.355	532.710	0.395	494.960	501.648	0.380	6.260	16.474
7/26/2010 09:04:45	26.855	533.710	0.395	497.890	502.197	0.380	6.260	16.474
7/26/2010 09:04:45	27.355	534.710	0.395	502.810	502.533	0.380	6.360	16.737
7/26/2010 09:04:46	27.855	535.710	0.395	505.450	503.235	0.380	6.360	16.737
7/26/2010 09:04:46	28.355	536.710	0.398	503.990	503.601	0.370	6.360	17.189
7/26/2010 09:04:47	28.855	537.710	0.400	504.600	503.876	0.370	6.360	17.189
