==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 10:03:13
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Pyrometer Temperature Measure only. TPD Bare silicon

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 09:56:45
Data Points::732
Sample Start Temperature (Thermocouple) [C]::21.82000
Current Limit [A]::0.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::0.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTime[s]
0.0010000	0.2000000	0.0005000	10.00
0.0005000	0.1000000	0.0005000	1000.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	0.00
500.00	0.00
500.00	0.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 09:56:46	0.000	0.000	0.000	21.820	329.865	0.000	0.050	Inf
7/26/2010 09:56:46	0.790	0.000	0.000	21.816	330.017	0.000	0.050	Inf
7/26/2010 09:56:47	1.290	0.000	0.000	21.810	329.163	0.000	0.050	Inf
7/26/2010 09:56:47	1.790	0.000	0.000	21.808	328.644	0.000	0.050	Inf
7/26/2010 09:56:48	2.290	0.000	0.000	21.808	326.752	0.000	0.050	Inf
7/26/2010 09:56:48	2.790	0.000	0.000	21.811	327.362	0.000	0.050	Inf
7/26/2010 09:56:49	3.290	0.000	0.000	21.808	327.637	0.000	0.050	Inf
7/26/2010 09:56:49	3.790	0.000	0.000	21.803	327.087	0.000	0.050	Inf
7/26/2010 09:56:50	4.290	0.000	0.000	21.807	327.393	0.000	0.050	Inf
7/26/2010 09:56:50	4.790	0.000	0.000	21.802	327.271	0.000	0.050	Inf
7/26/2010 09:56:51	5.290	0.000	0.000	21.808	327.301	0.000	0.050	Inf
7/26/2010 09:56:51	5.790	0.000	0.000	21.795	327.240	0.000	0.050	Inf
7/26/2010 09:56:52	6.290	0.000	0.000	21.800	329.132	0.000	0.050	Inf
7/26/2010 09:56:52	6.790	0.000	0.000	21.799	329.285	0.000	0.050	Inf
7/26/2010 09:56:53	7.290	0.000	0.000	21.805	329.895	0.000	0.050	Inf
7/26/2010 09:56:53	7.790	0.000	0.000	21.794	329.559	0.000	0.050	Inf
7/26/2010 09:56:54	8.290	0.000	0.000	21.794	329.254	0.000	0.050	Inf
7/26/2010 09:56:54	8.790	0.000	0.000	21.788	328.613	0.000	0.050	Inf
7/26/2010 09:56:55	9.290	0.000	0.000	21.794	328.339	0.000	0.050	Inf
7/26/2010 09:56:55	9.790	0.000	0.000	21.791	328.033	0.000	0.050	Inf
7/26/2010 09:56:56	10.290	0.000	0.000	21.795	328.979	0.000	0.050	Inf
7/26/2010 09:56:56	10.790	0.000	0.000	21.791	329.590	0.000	0.050	Inf
7/26/2010 09:56:57	11.290	0.000	0.000	21.789	329.498	0.000	0.050	Inf
7/26/2010 09:56:57	11.790	0.000	0.000	21.776	330.109	0.000	0.050	Inf
7/26/2010 09:56:58	12.290	0.000	0.000	21.774	331.146	0.000	0.050	Inf
7/26/2010 09:56:58	12.790	0.000	0.000	21.780	329.437	0.000	0.050	Inf
7/26/2010 09:56:59	13.290	0.000	0.000	21.777	327.820	0.000	0.050	Inf
7/26/2010 09:56:59	13.790	0.000	0.000	21.769	327.545	0.000	0.050	Inf
7/26/2010 09:57:00	14.290	0.000	0.000	21.767	327.454	0.000	0.050	Inf
7/26/2010 09:57:00	14.790	0.000	0.000	21.761	326.904	0.000	0.050	Inf
7/26/2010 09:57:01	15.290	0.000	0.000	21.766	328.461	0.000	0.050	Inf
7/26/2010 09:57:01	15.790	0.000	0.000	21.766	329.468	0.000	0.050	Inf
7/26/2010 09:57:02	16.290	0.000	0.000	21.756	327.850	0.000	0.050	Inf
7/26/2010 09:57:02	16.790	0.000	0.000	21.746	328.156	0.000	0.050	Inf
7/26/2010 09:57:03	17.290	0.000	0.000	21.756	326.904	0.000	0.050	Inf
7/26/2010 09:57:03	17.790	0.000	0.000	21.749	325.531	0.000	0.050	Inf
7/26/2010 09:57:04	18.290	0.000	0.000	21.742	325.348	0.000	0.050	Inf
7/26/2010 09:57:04	18.790	0.000	0.000	21.749	326.111	0.000	0.050	Inf
7/26/2010 09:57:05	19.290	0.000	0.000	21.747	323.822	0.000	0.050	Inf
7/26/2010 09:57:05	19.790	0.000	0.000	21.755	324.310	0.000	0.050	Inf
7/26/2010 09:57:06	20.290	0.000	0.000	21.755	323.914	0.000	0.050	Inf
7/26/2010 09:57:06	20.790	0.000	0.000	21.760	323.792	0.000	0.050	Inf
7/26/2010 09:57:07	21.290	0.000	0.000	21.757	325.806	0.000	0.050	Inf
7/26/2010 09:57:07	21.790	0.000	0.000	21.766	327.148	0.000	0.050	Inf
7/26/2010 09:57:08	22.290	0.000	0.000	21.756	327.271	0.000	0.050	Inf
7/26/2010 09:57:08	22.790	0.000	0.000	21.773	328.522	0.000	0.050	Inf
7/26/2010 09:57:09	23.290	0.000	0.000	21.768	330.902	0.000	0.050	Inf
7/26/2010 09:57:09	23.790	0.000	0.000	21.761	328.735	0.000	0.050	Inf
7/26/2010 09:57:10	24.290	0.000	0.000	21.761	327.484	0.000	0.050	Inf
7/26/2010 09:57:10	24.790	0.000	0.000	21.763	329.346	0.000	0.050	Inf
7/26/2010 09:57:11	25.290	0.000	0.000	21.768	328.430	0.000	0.050	Inf
7/26/2010 09:57:11	25.790	0.000	0.000	21.764	326.233	0.000	0.050	Inf
7/26/2010 09:57:12	26.290	0.000	0.000	21.769	329.681	0.000	0.050	Inf
7/26/2010 09:57:12	26.790	0.000	0.000	21.762	328.888	0.000	0.050	Inf
7/26/2010 09:57:13	27.290	0.000	0.000	21.768	327.454	0.000	0.050	Inf
7/26/2010 09:57:13	27.790	0.000	0.000	21.768	328.796	0.010	0.050	5.000
7/26/2010 09:57:14	28.290	0.000	0.000	21.767	327.637	0.000	0.050	Inf
7/26/2010 09:57:14	28.790	0.000	0.000	21.772	324.524	0.000	0.050	Inf
7/26/2010 09:57:15	29.290	0.000	0.000	21.766	325.928	0.000	0.050	Inf
7/26/2010 09:57:15	29.790	0.000	0.000	21.771	324.188	0.000	0.050	Inf
7/26/2010 09:57:16	30.290	0.000	0.000	21.770	325.989	0.000	0.050	Inf
7/26/2010 09:57:16	30.790	0.000	0.000	21.771	326.721	0.000	0.050	Inf
7/26/2010 09:57:17	31.290	0.000	0.000	21.773	326.508	0.000	0.050	Inf
7/26/2010 09:57:17	31.790	0.000	0.000	21.775	329.803	0.000	0.050	Inf
7/26/2010 09:57:18	32.290	0.000	0.000	21.776	333.313	0.020	0.050	2.500
7/26/2010 09:57:18	32.790	0.000	0.000	21.770	328.949	0.020	0.050	2.500
7/26/2010 09:57:19	33.290	0.000	0.000	21.778	329.529	0.000	0.050	Inf
7/26/2010 09:57:19	33.790	0.000	0.000	21.773	331.116	0.000	0.070	Inf
7/26/2010 09:57:20	34.290	0.000	0.000	21.770	328.857	0.010	0.050	5.000
7/26/2010 09:57:20	34.790	0.000	0.000	21.777	326.233	0.000	0.050	Inf
7/26/2010 09:57:21	35.290	0.000	0.000	21.771	329.956	0.000	0.050	Inf
7/26/2010 09:57:21	35.790	0.000	0.000	21.780	329.620	0.000	0.050	Inf
7/26/2010 09:57:22	36.290	0.000	0.000	21.775	327.515	0.000	0.050	Inf
7/26/2010 09:57:22	36.790	0.000	0.000	21.781	328.033	0.000	0.050	Inf
7/26/2010 09:57:23	37.290	0.000	0.000	21.777	327.026	0.000	0.050	Inf
7/26/2010 09:57:23	37.790	0.000	0.000	21.783	325.684	0.000	0.050	Inf
7/26/2010 09:57:24	38.290	0.000	0.000	21.775	325.409	0.000	0.050	Inf
7/26/2010 09:57:24	38.790	0.000	0.000	21.779	324.738	0.000	0.050	Inf
