==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 11:34:45
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Pyrometer Temperature Measure only. Dosing sample with hydrogen

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 11:21:46
Data Points::1002
Sample Start Temperature (Thermocouple) [C]::21.99500
Current Limit [A]::0.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::0.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTime[s]
0.0010000	0.2000000	0.0005000	10.00
0.0005000	0.1000000	0.0005000	1000.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	0.00
500.00	0.00
500.00	0.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 11:21:46	0.000	0.000	0.000	21.995	62.531	0.010	0.050	5.000
7/26/2010 11:21:47	0.328	0.000	0.000	21.995	124.359	0.010	0.050	5.000
7/26/2010 11:21:47	0.828	0.000	0.000	21.987	188.141	0.010	0.050	5.000
7/26/2010 11:21:48	1.328	0.000	0.000	21.979	255.157	0.000	0.050	Inf
7/26/2010 11:21:48	1.828	0.000	0.000	21.969	317.017	0.000	0.050	Inf
7/26/2010 11:21:49	2.328	0.000	0.000	21.975	319.550	0.020	0.030	1.500
7/26/2010 11:21:49	2.828	0.000	0.000	21.975	325.287	0.020	0.030	1.500
7/26/2010 11:21:50	3.328	0.000	0.000	21.972	327.484	0.000	0.050	Inf
7/26/2010 11:21:50	3.828	0.000	0.000	21.971	323.761	0.000	0.050	Inf
7/26/2010 11:21:51	4.328	0.000	0.000	21.979	330.078	0.000	0.050	Inf
7/26/2010 11:21:51	4.828	0.000	0.000	21.973	330.780	0.000	0.050	Inf
7/26/2010 11:21:52	5.328	0.000	0.000	21.970	330.994	0.000	0.050	Inf
7/26/2010 11:21:52	5.828	0.000	0.000	21.967	332.031	0.000	0.050	Inf
7/26/2010 11:21:53	6.328	0.000	0.000	21.965	337.433	0.000	0.050	Inf
7/26/2010 11:21:53	6.828	0.000	0.000	21.968	333.527	0.000	0.050	Inf
7/26/2010 11:21:54	7.328	0.000	0.000	21.960	331.421	0.010	0.050	5.000
7/26/2010 11:21:54	7.828	0.000	0.000	21.961	330.444	0.000	0.050	Inf
7/26/2010 11:21:55	8.328	0.000	0.000	21.963	326.904	0.000	0.050	Inf
7/26/2010 11:21:55	8.828	0.000	0.000	21.961	324.829	0.000	0.050	Inf
7/26/2010 11:21:56	9.328	0.000	0.000	21.957	323.578	0.000	0.050	Inf
7/26/2010 11:21:56	9.828	0.000	0.000	21.957	323.212	0.000	0.050	Inf
7/26/2010 11:21:57	10.328	0.000	0.000	21.957	320.007	0.000	0.050	Inf
7/26/2010 11:21:57	10.828	0.000	0.000	21.957	324.005	0.000	0.050	Inf
7/26/2010 11:21:58	11.328	0.000	0.000	21.956	326.019	0.000	0.050	Inf
7/26/2010 11:21:58	11.828	0.000	0.000	21.958	328.064	0.000	0.050	Inf
7/26/2010 11:21:59	12.328	0.000	0.000	21.954	332.001	0.000	0.050	Inf
7/26/2010 11:21:59	12.828	0.000	0.000	21.954	333.862	0.000	0.050	Inf
7/26/2010 11:22:00	13.328	0.000	0.000	21.955	332.916	0.000	0.050	Inf
7/26/2010 11:22:00	13.828	0.000	0.000	21.957	327.911	0.000	0.050	Inf
7/26/2010 11:22:01	14.328	0.000	0.000	21.954	323.517	0.000	0.050	Inf
7/26/2010 11:22:01	14.828	0.000	0.000	21.954	318.390	0.000	0.050	Inf
7/26/2010 11:22:02	15.328	0.000	0.000	21.954	319.733	0.000	0.050	Inf
7/26/2010 11:22:02	15.828	0.000	0.000	21.956	321.259	0.000	0.050	Inf
7/26/2010 11:22:03	16.328	0.000	0.000	21.966	319.275	0.000	0.050	Inf
7/26/2010 11:22:03	16.828	0.000	0.000	21.959	324.524	0.000	0.050	Inf
7/26/2010 11:22:04	17.328	0.000	0.000	21.965	329.987	0.000	0.050	Inf
7/26/2010 11:22:04	17.828	0.000	0.000	21.962	328.552	0.010	0.050	5.000
7/26/2010 11:22:05	18.328	0.000	0.000	21.966	321.747	0.000	0.050	Inf
7/26/2010 11:22:05	18.828	0.000	0.000	21.963	326.599	0.000	0.050	Inf
7/26/2010 11:22:06	19.328	0.000	0.000	21.966	325.317	0.000	0.050	Inf
7/26/2010 11:22:06	19.828	0.000	0.000	21.968	319.489	0.000	0.050	Inf
7/26/2010 11:22:07	20.328	0.000	0.000	21.959	317.657	0.000	0.050	Inf
7/26/2010 11:22:07	20.828	0.000	0.000	21.967	317.352	0.000	0.050	Inf
7/26/2010 11:22:08	21.328	0.000	0.000	21.963	318.420	0.000	0.050	Inf
7/26/2010 11:22:08	21.828	0.000	0.000	21.963	317.871	0.000	0.050	Inf
7/26/2010 11:22:09	22.328	0.000	0.000	21.963	323.700	0.000	0.050	Inf
7/26/2010 11:22:09	22.828	0.000	0.000	21.961	327.026	0.000	0.050	Inf
7/26/2010 11:22:10	23.328	0.000	0.000	21.963	328.613	0.010	0.050	5.000
7/26/2010 11:22:10	23.828	0.000	0.000	21.952	328.064	0.010	0.050	5.000
7/26/2010 11:22:11	24.328	0.000	0.000	21.953	324.890	0.000	0.050	Inf
7/26/2010 11:22:11	24.828	0.000	0.000	21.951	325.226	0.010	0.050	5.000
7/26/2010 11:22:12	25.328	0.000	0.000	21.943	319.580	0.020	0.050	2.500
7/26/2010 11:22:12	25.828	0.000	0.000	21.945	324.646	0.020	0.050	2.500
7/26/2010 11:22:13	26.328	0.000	0.000	21.942	324.585	0.000	0.050	Inf
7/26/2010 11:22:13	26.828	0.000	0.000	21.945	331.055	0.000	0.050	Inf
7/26/2010 11:22:14	27.328	0.000	0.000	21.946	324.951	0.000	0.050	Inf
7/26/2010 11:22:14	27.828	0.000	0.000	21.951	329.987	0.000	0.050	Inf
7/26/2010 11:22:15	28.328	0.000	0.000	21.951	324.310	0.000	0.050	Inf
7/26/2010 11:22:15	28.828	0.000	0.000	21.953	318.481	0.000	0.050	Inf
7/26/2010 11:22:16	29.328	0.000	0.000	21.951	314.880	0.000	0.050	Inf
7/26/2010 11:22:16	29.828	0.000	0.000	21.953	315.948	0.000	0.050	Inf
7/26/2010 11:22:17	30.328	0.000	0.000	21.949	317.657	0.000	0.050	Inf
7/26/2010 11:22:17	30.828	0.000	0.000	21.958	323.029	0.000	0.050	Inf
7/26/2010 11:22:18	31.328	0.000	0.000	21.951	324.219	0.000	0.050	Inf
7/26/2010 11:22:18	31.828	0.000	0.000	21.948	325.165	0.000	0.050	Inf
7/26/2010 11:22:19	32.328	0.000	0.000	21.950	327.698	0.020	0.050	2.500
7/26/2010 11:22:19	32.828	0.000	0.000	21.947	324.707	0.020	0.050	2.500
7/26/2010 11:22:20	33.328	0.000	0.000	21.945	322.021	0.000	0.050	Inf
7/26/2010 11:22:20	33.828	0.000	0.000	21.942	324.310	0.000	0.070	Inf
7/26/2010 11:22:21	34.328	0.000	0.000	21.950	324.707	0.000	0.050	Inf
7/26/2010 11:22:21	34.828	0.000	0.000	21.949	322.876	0.000	0.050	Inf
7/26/2010 11:22:22	35.328	0.000	0.000	21.946	324.219	0.000	0.050	Inf
7/26/2010 11:22:22	35.828	0.000	0.000	21.951	327.362	0.000	0.050	Inf
7/26/2010 11:22:23	36.328	0.000	0.000	21.951	331.970	0.000	0.050	Inf
7/26/2010 11:22:23	36.828	0.000	0.000	21.946	338.135	0.000	0.050	Inf
7/26/2010 11:22:24	37.328	0.000	0.000	21.944	344.391	0.000	0.050	Inf
7/26/2010 11:22:24	37.828	0.000	0.000	21.942	348.511	0.010	0.050	5.000
7/26/2010 11:22:25	38.328	0.000	0.000	21.941	350.006	0.010	0.050	5.000
7/26/2010 11:22:25	38.828	0.000	0.000	21.941	351.746	0.010	0.050	5.000
7/26/2010 11:22:26	39.328	0.000	0.000	21.938	355.042	0.000	0.050	Inf
7/26/2010 11:22:26	39.828	0.000	0.000	21.938	362.579	0.000	0.050	Inf
7/26/2010 11:22:27	40.328	0.000	0.000	21.937	367.371	0.000	0.050	Inf
7/26/2010 11:22:27	40.828	0.000	0.000	21.949	375.580	0.000	0.050	Inf
7/26/2010 11:22:28	41.328	0.000	0.000	21.946	382.599	0.000	0.050	Inf
7/26/2010 11:22:28	41.828	0.000	0.000	21.947	384.979	0.000	0.050	Inf
7/26/2010 11:22:29	42.328	0.000	0.000	21.950	388.428	0.000	0.050	Inf
7/26/2010 11:22:29	42.828	0.000	0.000	21.945	392.670	0.000	0.050	Inf
7/26/2010 11:22:30	43.328	0.000	0.000	21.955	396.057	0.000	0.050	Inf
7/26/2010 11:22:30	43.828	0.000	0.000	21.952	402.344	0.000	0.050	Inf
7/26/2010 11:22:31	44.328	0.000	0.000	21.953	409.973	0.000	0.050	Inf
7/26/2010 11:22:31	44.828	0.000	0.000	21.953	415.924	0.000	0.050	Inf
7/26/2010 11:22:32	45.328	0.000	0.000	21.951	423.615	0.000	0.050	Inf
7/26/2010 11:22:32	45.828	0.000	0.000	21.950	429.047	0.000	0.050	Inf
7/26/2010 11:22:33	46.328	0.000	0.000	21.955	433.472	0.000	0.050	Inf
7/26/2010 11:22:33	46.828	0.000	0.000	21.957	437.622	0.000	0.050	Inf
7/26/2010 11:22:34	47.328	0.000	0.000	21.959	436.676	0.000	0.050	Inf
7/26/2010 11:22:34	47.828	0.000	0.000	21.962	438.477	0.000	0.050	Inf
7/26/2010 11:22:35	48.328	0.000	0.000	21.961	438.660	0.000	0.050	Inf
