==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 13:13:06
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Pyrometer Temperature Measure only. TPD, H on Si

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 13:10:12
Data Points::335
Sample Start Temperature (Thermocouple) [C]::22.20700
Current Limit [A]::0.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::0.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTime[s]
0.0010000	0.2000000	0.0005000	10.00
0.0005000	0.1000000	0.0005000	1000.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	0.00
5000.00	0.00
5000.00	0.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 13:10:12	0.000	0.000	0.000	22.207	309.967	0.000	0.050	Inf
7/26/2010 13:10:13	0.761	0.000	0.000	22.204	305.603	0.000	0.050	Inf
7/26/2010 13:10:13	1.261	0.000	0.000	22.206	309.540	0.000	0.050	Inf
7/26/2010 13:10:14	1.761	0.000	0.000	22.203	311.310	0.000	0.050	Inf
7/26/2010 13:10:14	2.261	0.000	0.000	22.210	312.592	0.000	0.070	Inf
7/26/2010 13:10:15	2.761	0.000	0.000	22.205	313.873	0.010	0.050	5.000
7/26/2010 13:10:15	3.261	0.000	0.000	22.206	315.277	0.000	0.050	Inf
7/26/2010 13:10:16	3.761	0.000	0.000	22.197	316.376	0.000	0.050	Inf
7/26/2010 13:10:16	4.261	0.000	0.000	22.200	312.897	0.000	0.050	Inf
7/26/2010 13:10:17	4.761	0.000	0.000	22.189	314.178	0.000	0.050	Inf
7/26/2010 13:10:17	5.261	0.000	0.000	22.178	314.911	0.000	0.050	Inf
7/26/2010 13:10:18	5.761	0.000	0.000	22.176	313.080	0.000	0.050	Inf
7/26/2010 13:10:18	6.261	0.000	0.000	22.172	311.737	0.000	0.050	Inf
