==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Mon, Jul 26, 2010 13:46:06
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Pyrometer Temperature Measure only. TPD, H on Si, control

==Hardware Parameters==
Start Time::Mon, Jul 26, 2010 13:43:06
Data Points::349
Sample Start Temperature (Thermocouple) [C]::22.15100
Current Limit [A]::0.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::0.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTime[s]
0.0010000	0.2000000	0.0005000	10.00
0.0005000	0.1000000	0.0005000	1000.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	0.00
5000.00	0.00
5000.00	0.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/26/2010 13:43:06	0.000	0.000	0.000	22.138	314.819	0.000	0.050	Inf
7/26/2010 13:43:07	0.374	0.000	0.000	22.140	316.559	0.000	0.050	Inf
7/26/2010 13:43:07	0.874	0.000	0.000	22.143	314.545	0.000	0.050	Inf
7/26/2010 13:43:08	1.374	0.000	0.000	22.134	312.469	0.000	0.050	Inf
7/26/2010 13:43:08	1.874	0.000	0.000	22.142	313.416	0.000	0.050	Inf
7/26/2010 13:43:09	2.374	0.000	0.000	22.136	312.683	0.000	0.050	Inf
7/26/2010 13:43:09	2.874	0.000	0.000	22.142	312.195	0.000	0.050	Inf
7/26/2010 13:43:10	3.374	0.000	0.000	22.133	312.408	0.000	0.050	Inf
7/26/2010 13:43:10	3.874	0.000	0.000	22.142	311.707	0.000	0.050	Inf
7/26/2010 13:43:11	4.374	0.000	0.000	22.143	313.141	0.010	0.050	5.000
7/26/2010 13:43:11	4.874	0.000	0.000	22.140	315.765	0.000	0.050	Inf
7/26/2010 13:43:12	5.374	0.000	0.000	22.143	314.758	0.000	0.050	Inf
7/26/2010 13:43:12	5.874	0.000	0.000	22.142	315.979	0.010	0.050	5.000
7/26/2010 13:43:13	6.374	0.000	0.000	22.138	314.728	0.010	0.050	5.000
7/26/2010 13:43:13	6.874	0.000	0.000	22.139	314.301	0.000	0.050	Inf
7/26/2010 13:43:14	7.374	0.000	0.000	22.141	310.547	0.000	0.050	Inf
7/26/2010 13:43:14	7.874	0.000	0.000	22.145	313.080	0.000	0.070	Inf
7/26/2010 13:43:15	8.374	0.000	0.000	22.140	309.174	0.000	0.070	Inf
7/26/2010 13:43:15	8.874	0.000	0.000	22.146	308.929	0.010	0.050	5.000
7/26/2010 13:43:16	9.374	0.000	0.000	22.145	309.906	0.000	0.050	Inf
7/26/2010 13:43:16	9.874	0.000	0.000	22.144	313.232	0.000	0.050	Inf
7/26/2010 13:43:17	10.374	0.000	0.000	22.155	313.416	0.010	0.050	5.000
7/26/2010 13:43:17	10.874	0.000	0.000	22.138	314.026	0.010	0.050	5.000
7/26/2010 13:43:18	11.374	0.000	0.000	22.148	313.843	0.000	0.050	Inf
7/26/2010 13:43:18	11.874	0.000	0.000	22.142	311.951	0.000	0.050	Inf
7/26/2010 13:43:19	12.374	0.000	0.000	22.159	309.204	0.000	0.050	Inf
