==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Tue, Jul 27, 2010 17:38:22
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing pid parameters

==Hardware Parameters==
Start Time::Tue, Jul 27, 2010 17:36:58
Data Points::121
Sample Start Temperature (Thermocouple) [C]::113.96000
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0010000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	500.00
60.00	500.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/27/2010 17:36:58	0.000	500.000	0.386	113.960	237.000	0.000	0.050	Inf
7/27/2010 17:36:58	0.501	500.000	0.396	133.100	227.783	0.360	5.650	15.694
7/27/2010 17:36:59	1.002	500.000	0.409	150.680	247.986	0.360	5.550	15.417
7/27/2010 17:36:59	1.501	500.000	0.430	158.950	259.125	0.360	5.380	14.944
7/27/2010 17:37:00	2.002	500.000	0.441	175.380	251.434	0.410	5.440	13.268
7/27/2010 17:37:00	2.501	500.000	0.450	192.070	249.756	0.410	5.440	13.268
7/27/2010 17:37:01	3.001	500.000	0.463	205.080	254.547	0.440	5.460	12.409
7/27/2010 17:37:01	3.501	500.000	0.474	218.040	244.720	0.420	5.420	12.905
7/27/2010 17:37:02	4.002	500.000	0.484	231.210	246.643	0.440	5.440	12.364
7/27/2010 17:37:02	4.501	500.000	0.492	244.550	250.031	0.440	5.440	12.364
7/27/2010 17:37:03	5.001	500.000	0.498	259.060	256.470	0.460	5.460	11.870
7/27/2010 17:37:03	5.501	500.000	0.507	270.080	263.336	0.480	5.440	11.333
7/27/2010 17:37:04	6.002	500.000	0.514	281.370	274.353	0.470	5.400	11.489
7/27/2010 17:37:04	6.501	500.000	0.518	295.200	290.009	0.470	5.400	11.489
7/27/2010 17:37:05	7.001	500.000	0.524	305.790	303.772	0.500	5.440	10.880
7/27/2010 17:37:05	7.501	500.000	0.528	317.450	317.261	0.500	5.500	11.000
7/27/2010 17:37:06	8.002	500.000	0.535	326.060	330.322	0.470	5.480	11.660
7/27/2010 17:37:06	8.501	500.000	0.530	343.500	348.663	0.470	5.480	11.660
7/27/2010 17:37:07	9.001	500.000	0.536	351.420	358.429	0.510	5.590	10.961
7/27/2010 17:37:07	9.501	500.000	0.540	359.490	374.939	0.490	5.590	11.408
7/27/2010 17:37:08	10.002	500.000	0.545	366.420	388.977	0.500	5.570	11.140
7/27/2010 17:37:08	10.501	500.000	0.543	378.530	397.583	0.500	5.570	11.140
7/27/2010 17:37:09	11.001	500.000	0.546	385.460	408.569	0.510	5.610	11.000
7/27/2010 17:37:09	11.501	500.000	0.548	392.580	420.929	0.500	5.610	11.220
7/27/2010 17:37:10	12.002	500.000	0.552	397.870	432.434	0.520	5.590	10.750
7/27/2010 17:37:10	12.501	500.000	0.549	407.800	440.857	0.520	5.590	10.750
7/27/2010 17:37:11	13.001	500.000	0.556	409.380	451.019	0.540	5.590	10.352
7/27/2010 17:37:11	13.502	500.000	0.555	417.270	453.918	0.510	5.630	11.039
7/27/2010 17:37:12	14.002	500.000	0.557	422.740	458.649	0.490	5.650	11.531
7/27/2010 17:37:12	14.501	500.000	0.558	427.570	461.548	0.490	5.650	11.531
7/27/2010 17:37:13	15.001	500.000	0.559	432.110	466.309	0.490	5.650	11.531
7/27/2010 17:37:13	15.502	500.000	0.560	436.990	474.579	0.550	5.650	10.273
7/27/2010 17:37:14	16.002	500.000	0.562	440.380	480.652	0.510	5.680	11.137
7/27/2010 17:37:14	16.501	500.000	0.556	449.710	486.176	0.510	5.680	11.137
7/27/2010 17:37:15	17.001	500.000	0.564	447.920	489.197	0.530	5.680	10.717
7/27/2010 17:37:15	17.502	500.000	0.558	456.270	491.211	0.530	5.760	10.868
7/27/2010 17:37:16	18.002	500.000	0.564	454.830	492.676	0.510	5.700	11.176
7/27/2010 17:37:16	18.501	500.000	0.559	462.780	496.368	0.510	5.700	11.176
7/27/2010 17:37:17	19.001	500.000	0.566	460.290	500.458	0.500	5.720	11.440
7/27/2010 17:37:17	19.502	500.000	0.559	468.450	505.066	0.520	5.780	11.115
7/27/2010 17:37:18	20.002	500.000	0.566	465.960	508.911	0.510	5.740	11.255
7/27/2010 17:37:18	20.501	500.000	0.560	473.330	511.658	0.510	5.740	11.255
7/27/2010 17:37:19	21.001	500.000	0.565	471.260	512.878	0.540	5.760	10.667
7/27/2010 17:37:19	21.502	500.000	0.554	482.770	515.533	0.510	5.830	11.431
7/27/2010 17:37:20	22.001	500.000	0.563	477.900	517.883	0.510	5.830	11.431
7/27/2010 17:37:20	22.502	500.000	0.553	487.320	520.203	0.490	5.870	11.980
7/27/2010 17:37:21	23.001	500.000	0.558	484.360	521.973	0.530	5.850	11.038
