==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Tue, Jul 27, 2010 17:46:12
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing pid parameters

==Hardware Parameters==
Start Time::Tue, Jul 27, 2010 17:42:14
Data Points::391
Sample Start Temperature (Thermocouple) [C]::118.80000
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0010000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
195.00	750.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/27/2010 17:42:14	0.000	400.000	0.281	118.800	417.389	0.000	0.050	Inf
7/27/2010 17:42:14	0.766	400.000	0.287	145.030	375.671	0.380	5.460	14.368
7/27/2010 17:42:15	1.265	400.000	0.294	158.750	330.841	0.380	5.460	14.368
7/27/2010 17:42:15	1.765	400.000	0.304	169.500	276.550	0.360	5.350	14.861
7/27/2010 17:42:16	2.265	400.000	0.311	181.230	231.506	0.380	5.290	13.921
7/27/2010 17:42:16	2.766	400.000	0.317	192.400	232.361	0.380	5.290	13.921
7/27/2010 17:42:17	3.266	400.000	0.323	203.920	230.133	0.390	5.220	13.385
7/27/2010 17:42:17	3.765	400.000	0.329	213.670	238.220	0.390	5.220	13.385
7/27/2010 17:42:18	4.265	400.000	0.335	222.780	256.897	0.390	5.120	13.128
7/27/2010 17:42:18	4.766	400.000	0.340	231.920	264.008	0.360	5.010	13.917
7/27/2010 17:42:19	5.266	400.000	0.346	240.250	268.555	0.360	4.990	13.861
7/27/2010 17:42:19	5.765	400.000	0.350	248.530	284.546	0.360	4.990	13.861
7/27/2010 17:42:20	6.265	400.000	0.355	256.170	291.504	0.390	4.860	12.462
7/27/2010 17:42:20	6.766	400.000	0.360	263.130	299.774	0.360	4.820	13.389
7/27/2010 17:42:21	7.266	400.000	0.364	270.100	309.357	0.380	4.750	12.500
7/27/2010 17:42:21	7.765	400.000	0.369	275.950	326.019	0.380	4.750	12.500
7/27/2010 17:42:22	8.265	400.000	0.373	281.580	328.674	0.410	4.750	11.585
7/27/2010 17:42:22	8.766	400.000	0.378	287.140	327.179	0.390	4.730	12.128
7/27/2010 17:42:23	9.266	400.000	0.381	292.450	335.907	0.370	4.750	12.838
7/27/2010 17:42:23	9.765	400.000	0.385	297.440	341.736	0.370	4.750	12.838
7/27/2010 17:42:24	10.265	400.000	0.389	301.820	338.959	0.380	4.730	12.447
7/27/2010 17:42:24	10.766	400.000	0.394	305.370	332.916	0.350	4.710	13.457
7/27/2010 17:42:25	11.265	400.000	0.397	309.460	344.696	0.350	4.710	13.457
7/27/2010 17:42:25	11.765	400.000	0.402	312.800	344.147	0.390	4.640	11.897
7/27/2010 17:42:26	12.265	400.000	0.405	316.120	349.854	0.380	4.620	12.158
7/27/2010 17:42:26	12.766	400.000	0.410	318.800	362.518	0.360	4.560	12.667
7/27/2010 17:42:27	13.265	400.000	0.414	321.150	377.472	0.360	4.560	12.667
7/27/2010 17:42:27	13.765	400.000	0.417	324.070	376.984	0.360	4.620	12.833
7/27/2010 17:42:28	14.265	400.000	0.421	326.580	379.211	0.370	4.580	12.378
7/27/2010 17:42:28	14.766	400.000	0.424	329.720	382.568	0.400	4.640	11.600
7/27/2010 17:42:29	15.265	400.000	0.427	332.260	379.547	0.400	4.640	11.600
7/27/2010 17:42:29	15.766	400.000	0.431	334.110	382.050	0.390	4.600	11.795
7/27/2010 17:42:30	16.266	400.000	0.433	337.340	386.169	0.390	4.710	12.077
7/27/2010 17:42:30	16.766	400.000	0.436	339.490	389.587	0.380	4.710	12.395
7/27/2010 17:42:31	17.265	400.000	0.439	341.450	393.036	0.380	4.710	12.395
7/27/2010 17:42:31	17.766	400.000	0.442	343.820	395.264	0.380	4.640	12.211
7/27/2010 17:42:32	18.266	400.000	0.443	347.070	395.233	0.430	4.820	11.209
7/27/2010 17:42:32	18.766	400.000	0.445	349.370	397.827	0.430	4.820	11.209
7/27/2010 17:42:33	19.266	400.000	0.446	352.560	398.529	0.430	4.820	11.209
7/27/2010 17:42:33	19.765	400.000	0.448	354.340	401.489	0.410	4.840	11.805
7/27/2010 17:42:34	20.266	400.532	0.450	356.700	403.534	0.420	4.860	11.571
7/27/2010 17:42:34	20.766	401.532	0.452	358.830	405.975	0.420	4.860	11.571
7/27/2010 17:42:35	21.266	402.532	0.454	361.810	408.905	0.440	4.950	11.250
7/27/2010 17:42:35	21.765	403.530	0.456	363.970	413.147	0.410	4.920	12.000
7/27/2010 17:42:36	22.266	404.532	0.458	365.970	415.619	0.430	4.950	11.512
7/27/2010 17:42:36	22.766	405.532	0.460	368.280	416.840	0.430	4.950	11.512
7/27/2010 17:42:37	23.266	406.532	0.461	371.180	419.983	0.410	5.010	12.220
7/27/2010 17:42:37	23.765	407.530	0.464	372.090	420.990	0.460	5.010	10.891
7/27/2010 17:42:38	24.266	408.532	0.466	373.820	422.119	0.420	4.990	11.881
7/27/2010 17:42:38	24.765	409.530	0.468	376.290	422.516	0.420	4.990	11.881
7/27/2010 17:42:39	25.265	410.530	0.470	377.920	425.903	0.430	4.990	11.605
7/27/2010 17:42:39	25.765	411.530	0.473	378.710	429.687	0.430	4.970	11.558
7/27/2010 17:42:40	26.266	412.532	0.474	381.340	435.852	0.450	5.030	11.178
7/27/2010 17:42:40	26.765	413.530	0.476	382.950	438.416	0.450	5.030	11.178
7/27/2010 17:42:41	27.266	414.532	0.478	384.610	442.291	0.420	5.010	11.929
7/27/2010 17:42:41	27.765	415.530	0.481	385.190	444.000	0.460	5.050	10.978
7/27/2010 17:42:42	28.266	416.532	0.481	387.940	447.876	0.440	5.100	11.591
7/27/2010 17:42:42	28.765	417.530	0.483	389.510	449.402	0.440	5.100	11.591
7/27/2010 17:42:43	29.266	418.532	0.485	390.890	454.620	0.450	5.100	11.333
7/27/2010 17:42:43	29.765	419.530	0.487	392.740	455.750	0.460	5.160	11.217
7/27/2010 17:42:44	30.266	420.532	0.489	393.320	456.879	0.440	5.120	11.636
7/27/2010 17:42:44	30.765	421.530	0.490	395.300	456.909	0.440	5.120	11.636
7/27/2010 17:42:45	31.266	422.532	0.490	398.820	454.376	0.440	5.220	11.864
7/27/2010 17:42:45	31.765	423.530	0.494	398.390	453.522	0.450	5.120	11.378
7/27/2010 17:42:46	32.266	424.532	0.493	402.110	452.972	0.470	5.250	11.170
7/27/2010 17:42:46	32.765	425.530	0.494	403.940	455.322	0.470	5.250	11.170
