==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Tue, Jul 27, 2010 19:41:05
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Test
Chamber::Prep
Thermocouple Type::K
Notes::Testing after XPS, LEED and Auger

==Hardware Parameters==
Start Time::Tue, Jul 27, 2010 19:40:16
Data Points::82
Sample Start Temperature (Thermocouple) [C]::30.73300
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0010000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
60.00	400.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/27/2010 19:40:16	0.000	400.000	0.387	12.916	239.105	0.000	0.050	Inf	29.957
7/27/2010 19:40:17	0.496	400.000	0.412	19.211	238.342	0.000	0.050	Inf	30.790
7/27/2010 19:40:17	0.996	400.000	0.433	29.073	246.989	0.410	6.810	16.610	30.905
7/27/2010 19:40:18	1.496	400.000	0.454	38.233	244.064	0.240	6.750	28.125	31.052
7/27/2010 19:40:18	1.996	400.000	0.478	44.406	245.270	0.520	6.710	12.904	31.225
7/27/2010 19:40:19	2.495	400.000	0.492	58.356	244.171	0.520	6.710	12.904	31.398
7/27/2010 19:40:19	2.996	400.000	0.472	101.710	244.080	0.360	6.900	19.167	31.818
7/27/2010 19:40:20	3.496	400.000	0.464	134.440	244.904	0.460	6.690	14.543	31.814
7/27/2010 19:40:20	3.996	400.000	0.471	151.090	254.883	0.430	6.580	15.302	31.818
7/27/2010 19:40:21	4.495	400.000	0.419	214.930	257.660	0.430	6.580	15.302	32.090
7/27/2010 19:40:21	4.996	400.000	0.499	166.420	267.273	0.330	6.230	18.879	31.809
7/27/2010 19:40:22	5.496	400.000	0.401	262.880	280.914	0.480	6.660	13.875	32.418
7/27/2010 19:40:22	5.996	400.000	0.519	180.810	288.452	0.360	6.150	17.083	32.079
7/27/2010 19:40:23	6.495	400.000	0.415	277.600	293.793	0.360	6.150	17.083	32.541
7/27/2010 19:40:23	6.996	400.000	0.531	196.280	307.312	0.320	6.110	19.094	31.878
7/27/2010 19:40:24	7.496	400.000	0.390	323.820	320.068	0.550	6.770	12.309	32.857
7/27/2010 19:40:24	7.996	400.000	0.553	202.200	333.557	0.550	6.770	12.309	32.137
7/27/2010 19:40:25	8.496	400.000	0.368	363.470	346.313	0.410	6.900	16.829	32.939
7/27/2010 19:40:25	8.995	400.000	0.565	213.260	361.267	0.390	6.040	15.487	32.072
7/27/2010 19:40:26	9.496	400.000	0.455	305.670	373.199	0.530	6.960	13.132	32.314
7/27/2010 19:40:26	9.996	400.000	0.579	215.220	383.759	0.430	6.280	14.605	31.949
7/27/2010 19:40:27	10.495	400.000	0.513	275.760	393.921	0.430	6.280	14.605	32.378
7/27/2010 19:40:27	10.996	400.000	0.552	257.270	407.074	0.540	6.510	12.056	32.222
7/27/2010 19:40:28	11.496	400.000	0.524	289.430	418.762	0.470	6.880	14.638	32.208
7/27/2010 19:40:28	11.996	400.000	0.566	264.490	432.037	0.550	6.600	12.000	32.069
7/27/2010 19:40:29	12.495	400.000	0.547	288.170	445.435	0.550	6.600	12.000	32.153
7/27/2010 19:40:29	12.996	400.000	0.573	276.240	455.322	0.420	6.640	15.810	32.047
7/27/2010 19:40:30	13.496	400.000	0.551	302.740	464.386	0.560	6.770	12.089	32.231
7/27/2010 19:40:30	13.995	400.000	0.579	289.030	473.145	0.520	6.600	12.692	32.148
7/27/2010 19:40:31	14.495	400.000	0.568	305.030	482.178	0.520	6.600	12.692	32.227
7/27/2010 19:40:31	14.996	400.000	0.599	286.810	491.211	0.560	6.530	11.661	32.049
7/27/2010 19:40:32	15.496	400.000	0.582	307.240	499.542	0.450	6.660	14.800	32.211
7/27/2010 19:40:32	15.995	400.000	0.590	309.190	507.782	0.600	6.660	11.100	32.174
7/27/2010 19:40:33	16.495	400.000	0.599	307.780	515.686	0.600	6.660	11.100	32.183
7/27/2010 19:40:33	16.996	400.000	0.609	306.160	521.393	0.600	6.660	11.100	32.153
7/27/2010 19:40:34	17.496	400.000	0.616	306.220	528.168	0.480	6.640	13.833	32.203
7/27/2010 19:40:34	17.995	400.000	0.611	317.750	534.973	0.600	6.690	11.150	32.196
7/27/2010 19:40:35	18.495	400.000	0.618	318.790	541.443	0.600	6.690	11.150	32.184
7/27/2010 19:40:35	18.996	400.000	0.622	320.840	547.485	0.620	6.580	10.613	32.167
7/27/2010 19:40:36	19.496	400.000	0.660	294.370	553.741	0.620	6.620	10.677	32.178
7/27/2010 19:40:36	19.995	400.000	0.697	267.280	558.289	0.630	6.710	10.651	31.983
7/27/2010 19:40:37	20.495	400.000	0.701	270.410	562.408	0.650	6.730	10.354	30.430
7/27/2010 19:40:37	20.996	400.000	0.709	273.340	568.665	0.650	6.730	10.354	30.442
7/27/2010 19:40:38	21.496	400.000	0.714	278.710	574.890	0.670	6.600	9.851	30.387
7/27/2010 19:40:38	21.995	400.000	0.721	282.120	581.543	0.660	6.580	9.970	30.382
7/27/2010 19:40:39	22.495	400.000	0.444	529.310	588.379	0.680	6.470	9.515	31.221
7/27/2010 19:40:39	22.996	400.000	0.702	323.080	595.398	0.680	6.470	9.515	31.517
7/27/2010 19:40:40	23.496	400.000	0.435	537.240	597.839	0.670	6.600	9.851	31.408
7/27/2010 19:40:40	23.995	400.000	0.696	325.020	598.389	0.670	6.600	9.851	32.063
7/27/2010 19:40:41	24.496	400.000	0.430	537.920	596.375	0.650	6.600	10.154	33.346
7/27/2010 19:40:41	24.996	400.000	0.688	327.600	593.536	0.400	5.250	13.125	31.764
7/27/2010 19:40:42	25.496	400.000	0.425	536.740	588.226	0.650	6.620	10.185	32.246
7/27/2010 19:40:42	25.995	400.000	0.681	328.650	584.930	0.650	6.620	10.185	31.412
7/27/2010 19:40:43	26.496	400.000	0.426	531.780	581.207	0.650	6.640	10.215	31.605
7/27/2010 19:40:43	26.996	400.000	0.676	328.240	579.010	0.400	5.290	13.225	31.322
7/27/2010 19:40:44	27.496	400.000	0.422	531.190	575.073	0.640	6.660	10.406	31.584
