==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Wed, Jul 28, 2010 08:18:09
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Test
Chamber::Prep
Thermocouple Type::K
Notes::

==Hardware Parameters==
Start Time::Wed, Jul 28, 2010 08:16:49
Data Points::121
Sample Start Temperature (Thermocouple) [C]::136.82000
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0010000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	500.00
60.00	500.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/28/2010 08:16:49	0.000	500.000	0.363	136.550	312.805	0.000	0.050	Inf	105.120
7/28/2010 08:16:50	0.680	500.000	0.390	149.120	322.876	0.390	4.450	11.410	107.030
7/28/2010 08:16:50	1.180	500.000	0.405	162.530	318.909	0.390	4.280	10.974	106.910
7/28/2010 08:16:51	1.680	500.000	0.419	175.950	323.372	0.400	4.220	10.550	106.840
7/28/2010 08:16:51	2.180	500.000	0.432	189.270	326.294	0.380	4.190	11.026	106.860
7/28/2010 08:16:52	2.679	500.000	0.445	202.070	329.193	0.380	4.190	11.026	106.920
7/28/2010 08:16:52	3.180	500.000	0.456	215.520	329.407	0.400	4.240	10.600	107.010
7/28/2010 08:16:53	3.680	500.000	0.466	228.140	329.956	0.410	4.240	10.341	107.050
7/28/2010 08:16:53	4.179	500.000	0.476	240.190	325.317	0.410	4.240	10.341	107.040
7/28/2010 08:16:54	4.680	500.000	0.486	252.310	325.775	0.430	4.260	9.907	107.090
7/28/2010 08:16:54	5.179	500.000	0.494	264.230	328.552	0.440	4.220	9.591	107.100
7/28/2010 08:16:55	5.680	500.000	0.502	275.570	329.132	0.460	4.260	9.261	107.150
7/28/2010 08:16:55	6.179	500.000	0.509	286.800	333.618	0.460	4.260	9.261	107.200
7/28/2010 08:16:56	6.680	500.000	0.516	296.670	338.013	0.470	4.220	8.979	107.140
7/28/2010 08:16:56	7.179	500.000	0.523	306.760	336.548	0.470	4.170	8.872	107.190
