==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Wed, Jul 28, 2010 08:26:35
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::Temp Control Test
Chamber::Prep
Thermocouple Type::K
Notes::TPD-like ramp

==Hardware Parameters==
Start Time::Wed, Jul 28, 2010 08:23:06
Data Points::391
Sample Start Temperature (Thermocouple) [C]::105.48000
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
195.00	750.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/28/2010 08:23:07	0.000	400.000	0.589	105.480	343.781	0.000	0.050	Inf	102.150
7/28/2010 08:23:07	0.733	400.000	0.589	136.840	335.327	0.600	4.950	8.250	105.660
7/28/2010 08:23:08	1.234	400.000	0.584	160.360	328.522	0.560	4.860	8.679	105.490
7/28/2010 08:23:08	1.733	400.000	0.574	183.960	326.996	0.560	4.770	8.518	105.290
7/28/2010 08:23:09	2.233	400.000	0.568	204.570	326.141	0.560	4.770	8.518	105.060
7/28/2010 08:23:09	2.734	400.000	0.566	221.730	322.083	0.520	4.470	8.596	104.780
7/28/2010 08:23:10	3.233	400.000	0.560	238.840	322.510	0.530	4.390	8.283	104.710
7/28/2010 08:23:10	3.734	400.000	0.557	253.650	323.456	0.550	4.280	7.782	104.540
7/28/2010 08:23:11	4.233	400.000	0.552	267.700	319.061	0.550	4.280	7.782	104.560
7/28/2010 08:23:11	4.734	400.000	0.547	280.670	317.230	0.550	4.190	7.618	104.470
7/28/2010 08:23:12	5.233	400.000	0.548	290.280	322.601	0.510	4.150	8.137	104.340
7/28/2010 08:23:12	5.734	400.000	0.538	303.290	328.491	0.510	4.150	8.137	104.320
7/28/2010 08:23:13	6.234	400.000	0.535	313.030	328.918	0.510	4.040	7.922	104.180
7/28/2010 08:23:13	6.733	400.000	0.535	320.120	333.923	0.500	4.020	8.040	104.220
7/28/2010 08:23:14	7.233	400.000	0.530	328.930	338.379	0.490	4.000	8.163	104.250
7/28/2010 08:23:14	7.734	400.000	0.524	337.460	341.003	0.490	3.910	7.980	104.120
7/28/2010 08:23:15	8.233	400.000	0.525	342.400	346.008	0.490	3.910	7.980	104.090
7/28/2010 08:23:15	8.734	400.000	0.519	349.660	351.135	0.480	3.890	8.104	104.100
7/28/2010 08:23:16	9.233	400.000	0.520	353.530	353.912	0.500	3.830	7.660	104.010
7/28/2010 08:23:16	9.734	400.000	0.517	358.610	358.154	0.500	3.830	7.660	103.980
7/28/2010 08:23:17	10.234	400.000	0.514	363.080	359.955	0.470	3.810	8.106	103.980
7/28/2010 08:23:17	10.733	400.000	0.512	367.280	363.159	0.490	3.790	7.735	103.980
7/28/2010 08:23:18	11.233	400.000	0.510	370.900	367.462	0.480	3.790	7.896	103.970
7/28/2010 08:23:18	11.734	400.000	0.508	374.380	374.390	0.480	3.790	7.896	103.860
7/28/2010 08:23:19	12.234	400.000	0.506	377.400	376.892	0.460	3.740	8.130	103.900
7/28/2010 08:23:19	12.733	400.000	0.504	379.990	381.927	0.470	3.720	7.915	103.890
7/28/2010 08:23:20	13.233	400.000	0.502	382.700	381.683	0.470	3.760	8.000	103.840
7/28/2010 08:23:20	13.734	400.000	0.500	385.100	383.301	0.450	3.760	8.356	103.900
7/28/2010 08:23:21	14.233	400.000	0.498	387.270	382.294	0.450	3.760	8.356	103.840
7/28/2010 08:23:21	14.734	400.000	0.496	389.090	387.146	0.460	3.680	8.000	103.840
7/28/2010 08:23:22	15.233	400.000	0.494	390.970	387.512	0.480	3.700	7.708	103.800
7/28/2010 08:23:22	15.734	400.000	0.493	392.290	390.839	0.480	3.700	7.708	103.830
7/28/2010 08:23:23	16.234	400.000	0.491	393.910	394.623	0.480	3.700	7.708	103.820
7/28/2010 08:23:23	16.733	400.000	0.490	395.050	398.468	0.470	3.680	7.830	103.800
7/28/2010 08:23:24	17.233	400.000	0.488	396.010	397.003	0.470	3.680	7.830	103.710
7/28/2010 08:23:24	17.734	400.000	0.488	396.370	398.132	0.450	3.570	7.933	103.700
7/28/2010 08:23:25	18.233	400.000	0.489	396.440	397.736	0.460	3.590	7.804	103.690
7/28/2010 08:23:25	18.733	400.000	0.488	397.040	396.332	0.430	3.590	8.349	103.710
7/28/2010 08:23:26	19.233	400.000	0.489	397.160	396.118	0.470	3.590	7.638	103.690
7/28/2010 08:23:26	19.734	400.000	0.488	397.600	396.637	0.450	3.590	7.978	103.690
7/28/2010 08:23:27	20.233	400.466	0.489	397.780	397.034	0.450	3.590	7.978	103.640
7/28/2010 08:23:27	20.734	401.468	0.491	398.150	397.919	0.450	3.590	7.978	103.670
7/28/2010 08:23:28	21.233	402.466	0.492	398.800	400.391	0.470	3.680	7.830	103.790
7/28/2010 08:23:28	21.733	403.466	0.492	400.100	400.360	0.470	3.680	7.830	103.760
7/28/2010 08:23:29	22.234	404.468	0.493	400.840	402.710	0.450	3.680	8.178	103.770
7/28/2010 08:23:29	22.733	405.466	0.494	401.740	403.748	0.480	3.680	7.667	103.790
7/28/2010 08:23:30	23.233	406.466	0.495	402.530	404.785	0.480	3.680	7.667	103.760
7/28/2010 08:23:30	23.734	407.468	0.496	403.360	403.900	0.460	3.660	7.957	103.770
7/28/2010 08:23:31	24.233	408.466	0.497	404.020	403.809	0.480	3.680	7.667	103.750
