==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Wed, Jul 28, 2010 08:43:05
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Control, no H

==Hardware Parameters==
Start Time::Wed, Jul 28, 2010 08:40:30
Data Points::217
Sample Start Temperature (Thermocouple) [C]::98.90800
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
107.50	750.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/28/2010 08:40:30	0.000	400.000	0.602	98.908	617.462	0.000	0.050	Inf	99.789
7/28/2010 08:40:30	0.394	400.000	0.609	112.450	545.471	0.000	0.050	Inf	99.789
7/28/2010 08:40:31	0.894	400.000	0.643	120.190	470.428	0.600	3.420	5.700	101.730
7/28/2010 08:40:31	1.394	400.000	0.649	138.490	394.684	0.620	3.660	5.903	102.010
7/28/2010 08:40:32	1.894	400.000	0.656	156.470	320.770	0.600	3.660	6.100	102.030
7/28/2010 08:40:32	2.393	400.000	0.659	174.150	324.005	0.600	3.660	6.100	102.080
7/28/2010 08:40:33	2.894	400.000	0.661	191.470	323.059	0.640	3.760	5.875	102.080
7/28/2010 08:40:33	3.393	400.000	0.659	209.120	323.242	0.630	3.940	6.254	102.250
7/28/2010 08:40:34	3.894	400.000	0.656	226.080	322.906	0.630	3.890	6.175	102.210
7/28/2010 08:40:34	4.393	400.000	0.653	241.310	322.754	0.630	3.890	6.175	102.120
7/28/2010 08:40:35	4.894	400.000	0.648	256.530	321.838	0.620	3.980	6.419	102.170
7/28/2010 08:40:35	5.393	400.000	0.643	270.680	320.251	0.610	3.960	6.492	102.170
7/28/2010 08:40:36	5.894	400.000	0.636	284.080	321.259	0.640	3.980	6.219	102.170
7/28/2010 08:40:36	6.393	400.000	0.630	296.330	323.914	0.640	3.980	6.219	102.070
7/28/2010 08:40:37	6.894	400.000	0.623	308.320	329.071	0.590	3.940	6.678	102.130
7/28/2010 08:40:37	7.393	400.000	0.615	319.320	331.543	0.600	3.940	6.567	102.030
7/28/2010 08:40:38	7.894	400.000	0.609	329.040	339.386	0.580	3.870	6.672	101.990
7/28/2010 08:40:38	8.393	400.000	0.604	337.440	345.184	0.580	3.870	6.672	101.880
7/28/2010 08:40:39	8.894	400.000	0.597	345.710	351.044	0.550	3.850	7.000	101.890
7/28/2010 08:40:39	9.393	400.000	0.592	352.560	352.570	0.540	3.830	7.093	101.830
7/28/2010 08:40:40	9.894	400.000	0.586	359.460	357.727	0.590	3.810	6.458	101.840
7/28/2010 08:40:40	10.393	400.000	0.581	365.220	360.626	0.590	3.810	6.458	101.810
7/28/2010 08:40:41	10.894	400.000	0.575	370.660	366.730	0.560	3.790	6.768	101.790
7/28/2010 08:40:41	11.393	400.000	0.570	375.690	373.718	0.560	3.740	6.679	101.740
7/28/2010 08:40:42	11.894	400.000	0.567	379.010	379.822	0.520	3.660	7.038	101.650
7/28/2010 08:40:42	12.393	400.000	0.563	382.640	386.139	0.520	3.660	7.038	101.640
7/28/2010 08:40:43	12.894	400.000	0.559	385.770	391.052	0.540	3.680	6.815	101.630
7/28/2010 08:40:43	13.393	400.000	0.556	388.730	394.440	0.500	3.610	7.220	101.550
7/28/2010 08:40:44	13.893	400.000	0.553	391.190	396.454	0.500	3.610	7.220	101.560
7/28/2010 08:40:44	14.394	400.000	0.549	393.810	399.323	0.520	3.610	6.942	101.580
7/28/2010 08:40:45	14.893	400.000	0.546	395.590	400.085	0.500	3.570	7.140	101.510
7/28/2010 08:40:45	15.393	400.000	0.543	397.310	401.642	0.500	3.570	7.140	101.500
7/28/2010 08:40:46	15.893	400.000	0.541	398.710	403.442	0.500	3.570	7.140	101.520
7/28/2010 08:40:46	16.394	400.000	0.538	400.300	405.487	0.520	3.570	6.865	101.480
7/28/2010 08:40:47	16.893	400.000	0.536	401.290	407.166	0.480	3.550	7.396	101.460
7/28/2010 08:40:47	17.393	400.000	0.533	402.490	408.722	0.480	3.550	7.396	101.470
7/28/2010 08:40:48	17.894	400.000	0.531	403.270	410.126	0.500	3.530	7.060	101.440
7/28/2010 08:40:48	18.393	400.000	0.529	403.950	410.492	0.500	3.530	7.060	101.460
7/28/2010 08:40:49	18.893	400.000	0.528	404.350	410.339	0.480	3.440	7.167	101.370
7/28/2010 08:40:49	19.393	400.000	0.527	404.540	411.194	0.510	3.460	6.784	101.300
7/28/2010 08:40:50	19.893	400.000	0.526	404.460	411.652	0.510	3.460	6.784	101.330
7/28/2010 08:40:50	20.394	401.576	0.528	404.520	412.048	0.510	3.460	6.784	101.320
7/28/2010 08:40:51	20.893	403.572	0.532	404.480	411.987	0.470	3.510	7.468	101.340
7/28/2010 08:40:51	21.393	405.572	0.534	405.480	411.835	0.470	3.510	7.468	101.490
7/28/2010 08:40:52	21.894	407.576	0.536	406.370	411.835	0.510	3.590	7.039	101.460
