==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Wed, Jul 28, 2010 11:43:05
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Temp Control Test

==Hardware Parameters==
Start Time::Wed, Jul 28, 2010 11:41:40
Data Points::141
Sample Start Temperature (Thermocouple) [C]::71.26500
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
70.00	800.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/28/2010 11:41:40	0.000	400.000	0.657	71.265	606.567	0.000	0.050	Inf	62.153
7/28/2010 11:41:41	0.658	400.000	0.679	93.427	542.389	0.630	4.130	6.556	64.991
7/28/2010 11:41:41	1.159	400.000	0.680	116.740	473.206	0.640	4.040	6.312	65.090
7/28/2010 11:41:42	1.658	400.000	0.681	139.340	408.020	0.650	4.020	6.185	65.088
7/28/2010 11:41:42	2.158	400.000	0.678	161.230	341.980	0.660	4.000	6.061	65.076
7/28/2010 11:41:43	2.659	400.000	0.679	180.460	343.536	0.640	3.960	6.187	64.917
7/28/2010 11:41:43	3.158	400.000	0.675	199.860	342.651	0.640	3.940	6.156	64.947
7/28/2010 11:41:44	3.659	400.000	0.672	217.590	344.482	0.640	3.940	6.156	64.974
7/28/2010 11:41:44	4.158	400.000	0.667	234.690	343.445	0.650	3.910	6.015	64.866
7/28/2010 11:41:45	4.658	400.000	0.663	249.830	339.752	0.610	3.870	6.344	64.827
7/28/2010 11:41:45	5.158	400.000	0.657	264.700	338.898	0.650	3.910	6.015	64.834
7/28/2010 11:41:46	5.659	400.000	0.654	277.530	335.785	0.650	3.910	6.015	64.693
7/28/2010 11:41:46	6.158	400.000	0.649	289.710	336.945	0.640	3.830	5.984	64.724
7/28/2010 11:41:47	6.658	400.000	0.643	301.260	336.487	0.600	3.810	6.350	64.654
7/28/2010 11:41:47	7.158	400.000	0.638	312.030	338.715	0.640	3.830	5.984	64.637
7/28/2010 11:41:48	7.659	400.000	0.633	321.660	339.966	0.640	3.830	5.984	64.586
7/28/2010 11:41:48	8.158	400.000	0.626	331.190	344.360	0.590	3.810	6.458	64.589
7/28/2010 11:41:49	8.658	400.000	0.620	339.680	349.915	0.600	3.790	6.317	64.542
7/28/2010 11:41:49	9.158	400.000	0.616	346.540	356.537	0.600	3.790	6.317	64.443
7/28/2010 11:41:50	9.658	400.000	0.610	353.610	363.007	0.580	3.720	6.414	64.421
7/28/2010 11:41:50	10.159	400.000	0.603	360.520	367.554	0.590	3.720	6.305	64.453
7/28/2010 11:41:51	10.658	400.000	0.598	366.200	374.878	0.570	3.700	6.491	64.385
7/28/2010 11:41:51	11.158	400.000	0.594	371.130	375.885	0.600	3.660	6.100	64.318
7/28/2010 11:41:52	11.659	400.000	0.590	375.600	379.303	0.600	3.660	6.100	64.328
7/28/2010 11:41:52	12.158	400.000	0.585	379.700	382.294	0.600	3.660	6.100	64.252
7/28/2010 11:41:53	12.659	400.000	0.580	383.890	386.566	0.550	3.640	6.618	64.285
7/28/2010 11:41:53	13.158	400.000	0.576	387.190	387.085	0.560	3.590	6.411	64.243
7/28/2010 11:41:54	13.658	400.000	0.571	390.360	390.503	0.550	3.590	6.527	64.242
7/28/2010 11:41:54	14.159	400.000	0.567	393.170	392.731	0.550	3.590	6.527	64.244
7/28/2010 11:41:55	14.659	400.000	0.564	395.240	394.775	0.530	3.530	6.660	64.093
7/28/2010 11:41:55	15.158	400.000	0.562	396.970	396.667	0.530	3.510	6.623	64.148
7/28/2010 11:41:56	15.658	400.000	0.558	398.760	400.513	0.540	3.510	6.500	64.096
7/28/2010 11:41:56	16.159	400.000	0.556	400.180	404.144	0.540	3.460	6.407	64.079
7/28/2010 11:41:57	16.658	400.000	0.553	401.520	405.151	0.540	3.460	6.407	64.080
7/28/2010 11:41:57	17.159	400.000	0.551	402.160	406.616	0.510	3.460	6.784	64.039
7/28/2010 11:41:58	17.658	400.000	0.547	403.850	409.119	0.520	3.490	6.712	64.047
7/28/2010 11:41:58	18.159	400.000	0.546	404.370	409.027	0.510	3.400	6.667	63.990
7/28/2010 11:41:59	18.658	400.000	0.544	404.990	408.722	0.510	3.400	6.667	63.993
7/28/2010 11:41:59	19.159	400.000	0.542	405.530	409.485	0.520	3.420	6.577	63.992
7/28/2010 11:42:00	19.658	400.000	0.540	405.830	409.943	0.520	3.400	6.538	64.018
