==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Wed, Jul 28, 2010 11:59:33
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::H-passivation

==Hardware Parameters==
Start Time::Wed, Jul 28, 2010 11:50:56
Data Points::845
Sample Start Temperature (Thermocouple) [C]::106.28000
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
3000.00	400.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/28/2010 11:50:56	0.000	400.000	0.588	106.140	393.860	0.000	0.050	Inf	64.372
7/28/2010 11:50:57	0.538	400.000	0.611	118.940	376.434	0.570	3.530	6.193	66.520
7/28/2010 11:50:58	1.039	400.000	0.617	137.680	356.171	0.580	3.980	6.862	66.797
7/28/2010 11:50:58	1.539	400.000	0.620	157.130	339.630	0.580	3.980	6.862	66.902
7/28/2010 11:50:59	2.039	400.000	0.603	183.860	324.646	0.590	4.670	7.915	67.770
7/28/2010 11:50:59	2.538	400.000	0.603	202.290	322.571	0.560	4.520	8.071	67.447
7/28/2010 11:51:00	3.039	400.000	0.595	221.840	322.296	0.570	4.560	8.000	67.443
7/28/2010 11:51:00	3.538	400.000	0.587	240.010	327.240	0.570	4.560	8.000	67.375
7/28/2010 11:51:01	4.039	400.000	0.588	252.890	327.179	0.540	4.130	7.648	66.919
7/28/2010 11:51:01	4.538	400.000	0.583	267.060	325.287	0.570	4.170	7.316	67.015
7/28/2010 11:51:02	5.039	400.000	0.576	280.940	324.707	0.560	4.220	7.536	67.003
7/28/2010 11:51:02	5.538	400.000	0.570	293.270	328.033	0.560	4.220	7.536	66.990
7/28/2010 11:51:03	6.039	400.000	0.564	305.180	328.400	0.550	4.150	7.545	67.037
7/28/2010 11:51:03	6.538	400.000	0.559	315.190	333.221	0.540	4.070	7.537	66.775
7/28/2010 11:51:04	7.039	400.000	0.554	324.420	338.165	0.520	4.040	7.769	66.733
7/28/2010 11:51:04	7.538	400.000	0.549	333.140	343.811	0.520	4.040	7.769	66.743
7/28/2010 11:51:05	8.039	400.000	0.544	340.850	345.581	0.510	4.020	7.882	66.661
7/28/2010 11:51:05	8.538	400.000	0.539	348.210	350.372	0.500	4.070	8.140	66.735
7/28/2010 11:51:06	9.039	400.000	0.533	355.070	351.990	0.520	4.020	7.731	66.660
7/28/2010 11:51:06	9.538	400.000	0.528	361.330	355.225	0.520	4.020	7.731	66.697
7/28/2010 11:51:07	10.039	400.000	0.523	366.540	358.124	0.480	3.960	8.250	66.571
7/28/2010 11:51:07	10.538	400.000	0.519	371.380	363.983	0.520	3.960	7.615	66.590
7/28/2010 11:51:08	11.039	400.000	0.515	375.690	367.645	0.490	3.870	7.898	66.465
7/28/2010 11:51:08	11.538	400.000	0.511	379.370	372.192	0.490	3.870	7.898	66.526
7/28/2010 11:51:09	12.039	400.000	0.507	383.360	376.190	0.480	3.890	8.104	66.487
7/28/2010 11:51:09	12.538	400.000	0.504	386.050	382.538	0.480	3.810	7.937	66.436
7/28/2010 11:51:10	13.039	400.000	0.501	388.750	384.674	0.470	3.830	8.149	66.449
7/28/2010 11:51:10	13.538	400.000	0.496	391.790	387.207	0.470	3.830	8.149	66.457
7/28/2010 11:51:11	14.039	400.000	0.495	393.240	390.686	0.440	3.790	8.614	66.359
7/28/2010 11:51:11	14.538	400.000	0.491	395.480	392.853	0.450	3.790	8.422	66.407
7/28/2010 11:51:12	15.039	400.000	0.487	397.630	394.470	0.460	3.790	8.239	66.416
7/28/2010 11:51:12	15.538	400.000	0.485	398.880	396.545	0.460	3.790	8.239	66.300
7/28/2010 11:51:13	16.039	400.000	0.483	400.130	397.614	0.430	3.870	9.000	66.368
7/28/2010 11:51:13	16.538	400.000	0.479	401.980	397.736	0.440	3.890	8.841	66.390
7/28/2010 11:51:14	17.039	400.000	0.477	402.800	399.109	0.420	3.830	9.119	66.337
7/28/2010 11:51:14	17.538	400.000	0.475	403.850	398.376	0.420	3.830	9.119	66.372
7/28/2010 11:51:15	18.039	400.000	0.472	404.840	399.353	0.440	3.850	8.750	66.336
7/28/2010 11:51:15	18.538	400.000	0.469	405.780	401.001	0.430	3.850	8.953	66.351
7/28/2010 11:51:16	19.039	400.000	0.468	405.920	402.496	0.460	3.760	8.174	66.296
7/28/2010 11:51:16	19.538	400.000	0.466	406.180	403.412	0.460	3.760	8.174	66.319
7/28/2010 11:51:17	20.039	400.000	0.464	406.770	403.992	0.450	3.790	8.422	66.315
7/28/2010 11:51:17	20.538	400.000	0.463	407.000	404.999	0.420	3.790	9.024	66.317
7/28/2010 11:51:18	21.038	400.000	0.460	407.630	406.067	0.420	3.790	9.024	66.323
7/28/2010 11:51:18	21.538	400.000	0.459	407.730	406.982	0.420	3.790	9.024	66.352
7/28/2010 11:51:19	22.039	400.000	0.457	407.730	407.166	0.430	3.720	8.651	66.280
7/28/2010 11:51:19	22.539	400.000	0.456	407.570	409.058	0.420	3.700	8.810	66.260
7/28/2010 11:51:20	23.039	400.000	0.456	407.370	408.508	0.430	3.700	8.605	66.279
7/28/2010 11:51:20	23.538	400.000	0.455	407.000	407.501	0.420	3.680	8.762	66.277
7/28/2010 11:51:21	24.039	400.000	0.455	406.650	406.738	0.420	3.680	8.762	66.290
7/28/2010 11:51:21	24.538	400.000	0.454	406.610	406.403	0.400	3.680	9.200	66.275
7/28/2010 11:51:22	25.038	400.000	0.453	406.220	404.541	0.430	3.680	8.558	66.318
7/28/2010 11:51:22	25.538	400.000	0.452	406.170	404.266	0.430	3.700	8.605	66.305
7/28/2010 11:51:23	26.039	400.000	0.452	405.750	405.029	0.430	3.700	8.605	66.306
7/28/2010 11:51:23	26.538	400.000	0.452	405.570	404.266	0.430	3.720	8.651	66.330
7/28/2010 11:51:24	27.038	400.000	0.451	405.640	404.541	0.410	3.720	9.073	66.284
7/28/2010 11:51:24	27.538	400.000	0.449	405.950	405.060	0.420	3.740	8.905	66.365
7/28/2010 11:51:25	28.039	400.000	0.449	405.390	405.365	0.420	3.740	8.905	66.270
7/28/2010 11:51:25	28.538	400.000	0.450	404.680	404.907	0.410	3.610	8.805	66.246
