==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Wed, Jul 28, 2010 13:48:24
Sample::JRS0035
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::TPD after H-passivation

==Hardware Parameters==
Start Time::Wed, Jul 28, 2010 13:47:09
Data Points::122
Sample Start Temperature (Thermocouple) [C]::49.90200
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
60.00	800.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/28/2010 13:47:09	0.000	400.000	0.700	49.935	369.415	0.000	0.050	Inf	50.618
7/28/2010 13:47:09	0.319	400.000	0.738	49.962	342.163	0.000	0.050	Inf	50.589
7/28/2010 13:47:10	0.820	400.000	0.615	127.980	313.599	0.710	5.400	7.606	58.946
7/28/2010 13:47:10	1.319	400.000	0.694	121.690	284.851	0.560	4.620	8.250	54.540
7/28/2010 13:47:11	1.820	400.000	0.654	157.970	252.411	0.670	5.050	7.537	55.389
7/28/2010 13:47:11	2.319	400.000	0.655	178.940	251.984	0.670	5.050	7.537	54.699
7/28/2010 13:47:12	2.820	400.000	0.638	204.040	252.045	0.610	4.880	8.000	54.498
7/28/2010 13:47:12	3.319	400.000	0.630	224.250	251.740	0.620	4.820	7.774	54.400
7/28/2010 13:47:13	3.820	400.000	0.615	245.490	248.566	0.610	4.820	7.902	54.191
7/28/2010 13:47:13	4.319	400.000	0.605	263.090	255.707	0.610	4.820	7.902	54.132
7/28/2010 13:47:14	4.820	400.000	0.592	279.970	262.360	0.570	4.800	8.421	53.919
7/28/2010 13:47:14	5.319	400.000	0.580	295.690	269.165	0.550	4.750	8.636	53.899
7/28/2010 13:47:15	5.820	400.000	0.567	310.270	274.231	0.580	4.730	8.155	53.769
7/28/2010 13:47:15	6.319	400.000	0.561	320.780	285.919	0.580	4.730	8.155	53.540
7/28/2010 13:47:16	6.820	400.000	0.549	332.740	293.793	0.510	4.600	9.020	53.460
7/28/2010 13:47:16	7.320	400.000	0.542	341.770	305.939	0.500	4.470	8.940	53.366
7/28/2010 13:47:17	7.820	400.000	0.532	351.290	316.406	0.500	4.520	9.040	53.304
7/28/2010 13:47:17	8.319	400.000	0.523	359.520	327.759	0.500	4.520	9.040	53.181
7/28/2010 13:47:18	8.820	400.000	0.517	365.840	336.304	0.510	4.340	8.510	53.042
