==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Thu, Jul 29, 2010 08:21:47
Sample::JRS0035
Experimenter Name::Cheidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Temp Control Test

==Hardware Parameters==
Start Time::Thu, Jul 29, 2010 08:20:22
Data Points::122
Sample Start Temperature (Thermocouple) [C]::27.19400
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
60.00	800.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/29/2010 08:20:23	0.000	400.000	0.728	36.101	258.484	0.360	3.960	11.000	25.279
7/29/2010 08:20:23	0.125	400.000	0.735	38.736	259.247	0.360	3.960	11.000	26.851
7/29/2010 08:20:24	0.626	400.000	0.698	81.820	251.923	0.680	4.950	7.279	29.464
7/29/2010 08:20:24	1.126	400.000	0.700	108.250	254.631	0.640	4.640	7.250	28.751
7/29/2010 08:20:25	1.625	400.000	0.692	135.330	255.890	0.660	4.600	6.970	28.593
7/29/2010 08:20:25	2.125	400.000	0.681	161.870	251.129	0.660	4.580	6.939	28.516
7/29/2010 08:20:26	2.626	400.000	0.673	184.960	251.190	0.660	4.580	6.939	28.509
7/29/2010 08:20:26	3.126	400.000	0.665	206.360	251.190	0.650	4.520	6.954	28.392
7/29/2010 08:20:27	3.625	400.000	0.654	227.020	250.519	0.640	4.490	7.016	28.334
7/29/2010 08:20:27	4.125	400.000	0.645	245.440	246.399	0.620	4.450	7.177	28.156
7/29/2010 08:20:28	4.626	400.000	0.636	262.320	252.899	0.620	4.450	7.177	28.185
7/29/2010 08:20:28	5.126	400.000	0.630	276.670	252.563	0.600	4.240	7.067	27.870
7/29/2010 08:20:29	5.625	400.000	0.620	291.030	261.566	0.610	4.220	6.918	27.912
7/29/2010 08:20:29	6.125	400.000	0.611	304.610	268.524	0.610	4.220	6.918	27.812
7/29/2010 08:20:30	6.626	400.000	0.603	316.120	280.823	0.580	4.240	7.310	27.875
7/29/2010 08:20:30	7.126	400.000	0.591	328.440	289.429	0.540	4.490	8.315	27.883
7/29/2010 08:20:31	7.625	400.000	0.580	339.700	306.030	0.560	4.450	7.946	28.015
7/29/2010 08:20:31	8.125	400.000	0.569	349.680	319.977	0.560	4.450	7.946	27.769
7/29/2010 08:20:32	8.626	400.000	0.560	358.180	328.186	0.520	4.320	8.308	27.701
7/29/2010 08:20:32	9.126	400.000	0.550	366.450	341.797	0.530	4.340	8.189	27.629
7/29/2010 08:20:33	9.625	400.000	0.542	373.140	351.410	0.540	4.090	7.574	27.523
7/29/2010 08:20:33	10.125	400.000	0.536	378.530	355.896	0.540	4.090	7.574	27.353
7/29/2010 08:20:34	10.626	400.000	0.529	383.630	359.009	0.480	4.220	8.792	27.423
7/29/2010 08:20:34	11.125	400.000	0.523	387.890	366.333	0.490	4.090	8.347	27.280
7/29/2010 08:20:35	11.625	400.000	0.516	392.060	368.622	0.490	4.110	8.388	27.295
7/29/2010 08:20:35	12.125	400.000	0.511	395.390	376.038	0.490	4.110	8.388	27.191
7/29/2010 08:20:36	12.626	400.000	0.505	398.380	381.714	0.510	4.070	7.980	27.203
7/29/2010 08:20:36	13.125	400.000	0.501	400.820	387.207	0.470	4.000	8.511	27.137
7/29/2010 08:20:37	13.625	400.000	0.495	403.450	391.937	0.470	4.000	8.511	27.139
7/29/2010 08:20:37	14.125	400.000	0.491	405.120	396.271	0.470	4.000	8.511	27.075
7/29/2010 08:20:38	14.626	400.000	0.489	406.080	397.858	0.450	3.940	8.756	27.071
7/29/2010 08:20:38	15.125	400.000	0.487	406.570	400.146	0.430	3.810	8.860	26.957
7/29/2010 08:20:39	15.625	400.000	0.484	407.070	401.154	0.450	3.810	8.467	26.952
7/29/2010 08:20:39	16.125	400.000	0.482	407.500	402.283	0.450	3.810	8.467	26.926
7/29/2010 08:20:40	16.625	400.000	0.480	408.070	401.642	0.480	3.810	7.937	27.011
7/29/2010 08:20:40	17.125	400.000	0.480	407.590	401.550	0.430	3.740	8.698	26.902
7/29/2010 08:20:41	17.625	400.000	0.478	407.630	401.215	0.430	3.740	8.698	26.882
7/29/2010 08:20:41	18.126	400.000	0.478	407.190	402.710	0.470	3.740	7.957	26.896
7/29/2010 08:20:42	18.626	400.000	0.476	407.350	404.297	0.430	3.740	8.698	26.910
7/29/2010 08:20:42	19.125	400.000	0.476	407.220	405.762	0.440	3.740	8.500	26.925
7/29/2010 08:20:43	19.625	400.000	0.475	406.920	405.273	0.440	3.740	8.500	26.923
7/29/2010 08:20:43	20.126	401.260	0.476	407.070	405.426	0.420	3.740	8.905	26.902
7/29/2010 08:20:44	20.625	406.250	0.485	407.220	403.809	0.410	3.740	9.122	26.896
7/29/2010 08:20:44	21.125	411.250	0.495	407.510	402.252	0.430	3.810	8.860	26.948
7/29/2010 08:20:45	21.625	416.250	0.502	409.140	400.665	0.430	3.810	8.860	26.999
7/29/2010 08:20:45	22.126	421.260	0.509	411.320	401.001	0.460	4.000	8.696	27.122
7/29/2010 08:20:46	22.625	426.250	0.519	412.610	402.100	0.470	4.000	8.511	27.167
7/29/2010 08:20:46	23.125	431.250	0.527	414.590	404.999	0.480	4.070	8.479	27.228
7/29/2010 08:20:47	23.625	436.250	0.535	417.000	406.464	0.480	4.070	8.479	27.230
7/29/2010 08:20:47	24.126	441.260	0.540	420.820	409.119	0.510	4.220	8.275	27.466
7/29/2010 08:20:48	24.625	446.250	0.547	424.330	412.292	0.500	4.220	8.440	27.427
7/29/2010 08:20:48	25.125	451.250	0.555	427.230	414.642	0.520	4.190	8.058	27.461
