==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Thu, Jul 29, 2010 08:54:03
Sample::JRS0035
Experimenter Name::Cheidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::H-passivation

==Hardware Parameters==
Start Time::Thu, Jul 29, 2010 08:48:26
Data Points::425
Sample Start Temperature (Thermocouple) [C]::54.90900
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
3000.00	400.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/29/2010 08:48:26	0.000	400.000	0.690	54.923	613.770	0.000	0.050	Inf	28.852
7/29/2010 08:48:27	0.771	400.000	0.704	87.619	557.190	0.660	3.790	5.742	31.410
7/29/2010 08:48:27	1.271	400.000	0.707	110.950	502.747	0.700	3.680	5.257	31.377
7/29/2010 08:48:28	1.770	400.000	0.706	134.370	446.289	0.670	3.680	5.493	31.404
7/29/2010 08:48:28	2.270	400.000	0.706	156.180	389.404	0.670	3.680	5.493	31.383
7/29/2010 08:48:29	2.771	400.000	0.702	177.610	388.428	0.660	3.760	5.697	31.391
7/29/2010 08:48:29	3.271	400.000	0.697	197.950	390.259	0.670	3.810	5.687	31.483
7/29/2010 08:48:30	3.770	400.000	0.693	216.320	389.587	0.670	3.790	5.657	31.404
7/29/2010 08:48:30	4.270	400.000	0.686	234.270	388.245	0.670	3.790	5.657	31.463
7/29/2010 08:48:31	4.771	400.000	0.678	251.570	388.550	0.660	3.870	5.864	31.399
7/29/2010 08:48:31	5.271	400.000	0.669	267.540	387.939	0.660	3.910	5.924	31.372
7/29/2010 08:48:32	5.770	400.000	0.659	283.010	385.468	0.620	3.940	6.355	31.399
7/29/2010 08:48:32	6.270	400.000	0.653	295.740	384.155	0.620	3.940	6.355	31.249
7/29/2010 08:48:33	6.771	400.000	0.644	308.570	384.460	0.610	3.830	6.279	31.282
7/29/2010 08:48:33	7.270	400.000	0.635	320.330	383.789	0.620	3.830	6.177	31.265
7/29/2010 08:48:34	7.770	400.000	0.626	331.150	385.529	0.620	3.850	6.210	31.208
7/29/2010 08:48:34	8.270	400.000	0.615	341.640	388.947	0.620	3.850	6.210	31.195
7/29/2010 08:48:35	8.771	400.000	0.607	350.410	391.663	0.560	3.740	6.679	31.059
7/29/2010 08:48:35	9.270	400.000	0.599	358.510	392.944	0.570	3.740	6.561	31.038
7/29/2010 08:48:36	9.770	400.000	0.591	365.700	394.501	0.540	3.700	6.852	31.011
7/29/2010 08:48:36	10.270	400.000	0.582	372.870	396.210	0.540	3.700	6.852	31.006
7/29/2010 08:48:37	10.770	400.000	0.574	378.900	395.691	0.570	3.720	6.526	31.013
7/29/2010 08:48:37	11.270	400.000	0.566	384.470	396.698	0.550	3.700	6.727	30.988
7/29/2010 08:48:38	11.770	400.000	0.561	388.420	401.428	0.540	3.610	6.685	30.842
7/29/2010 08:48:38	12.270	400.000	0.553	393.120	403.870	0.540	3.610	6.685	30.881
7/29/2010 08:48:39	12.770	400.000	0.546	397.070	405.792	0.520	3.610	6.942	30.836
7/29/2010 08:48:39	13.270	400.000	0.541	399.890	409.607	0.500	3.570	7.140	30.799
7/29/2010 08:48:40	13.770	400.000	0.534	403.110	412.109	0.500	3.570	7.140	30.808
7/29/2010 08:48:40	14.271	400.000	0.529	405.460	412.811	0.500	3.550	7.100	30.816
7/29/2010 08:48:41	14.770	400.000	0.526	406.500	414.764	0.510	3.440	6.745	30.636
7/29/2010 08:48:41	15.270	400.000	0.522	407.870	416.260	0.470	3.440	7.319	30.645
7/29/2010 08:48:42	15.770	400.000	0.519	408.880	417.847	0.470	3.440	7.319	30.665
