==Experiment Metadata==
Software Version::TPD Controller v1.2
Data Saved::Thu, Jul 29, 2010 09:45:11
Sample::JRS0035
Experimenter Name::Cheidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Test on analysis stage. TC A is measuring prep stage, not analysis stage.

==Hardware Parameters==
Start Time::Thu, Jul 29, 2010 09:44:08
Data Points::23
Sample Start Temperature (Thermocouple) [C]::35.00000
Current Limit [A]::4.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0020000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	400.00
20.00	400.00
60.00	800.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]	StageTemperature[C]
7/29/2010 09:44:08	0.000	400.000	0.730	35.000	610.321	0.000	0.050	Inf	31.502
7/29/2010 09:44:09	0.559	400.000	0.756	53.135	518.188	0.700	5.180	7.400	33.142
7/29/2010 09:44:10	1.058	400.000	0.780	69.360	427.979	0.710	5.380	7.577	33.328
7/29/2010 09:44:10	1.558	400.000	0.784	93.049	339.905	0.760	5.400	7.105	33.016
7/29/2010 09:44:11	2.058	400.000	0.804	109.030	247.162	0.760	5.400	7.105	33.123
7/29/2010 09:44:11	2.559	400.000	0.966	61.786	249.664	0.730	5.890	8.068	32.903
7/29/2010 09:44:12	3.058	400.000	1.052	43.957	252.106	0.920	7.090	7.707	31.895
7/29/2010 09:44:12	3.558	400.000	1.014	84.383	255.920	1.020	7.800	7.647	31.618
7/29/2010 09:44:13	4.058	400.000	1.027	105.350	269.867	1.020	7.800	7.647	31.495
7/29/2010 09:44:13	4.559	400.000	1.045	120.820	298.523	0.990	7.760	7.838	31.608
7/29/2010 09:44:14	5.058	400.000	1.071	131.300	334.290	1.010	7.670	7.594	31.616
7/29/2010 09:44:14	5.558	400.000	1.111	134.470	377.838	1.040	7.480	7.192	31.744
7/29/2010 09:44:15	6.058	400.000	1.125	147.680	417.328	1.040	7.480	7.192	31.717
7/29/2010 09:44:15	6.559	400.000	1.153	155.090	466.217	1.090	6.840	6.275	31.955
7/29/2010 09:44:16	7.058	400.000	1.162	169.580	510.376	1.110	6.530	5.883	32.015
7/29/2010 09:44:16	7.558	400.000	1.189	176.280	551.270	1.110	6.530	5.883	32.041
7/29/2010 09:44:17	8.059	400.000	1.183	195.420	587.189	1.140	6.060	5.316	31.859
7/29/2010 09:44:17	8.558	400.000	1.234	190.040	626.343	1.140	5.870	5.149	31.814
7/29/2010 09:44:18	9.058	400.000	1.238	202.810	645.905	1.200	5.800	4.833	31.862
7/29/2010 09:44:18	9.558	400.000	0.998	321.800	662.994	1.200	5.800	4.833	31.729
7/29/2010 09:44:19	10.059	400.000	0.747	447.800	676.453	0.950	5.100	5.368	32.551
7/29/2010 09:44:19	10.558	400.000	0.693	480.640	684.509	0.700	4.540	6.486	32.102
7/29/2010 09:44:20	11.058	400.000	0.649	497.000	686.829	0.630	4.520	7.175	32.054
