==Experiment Metadata==
Software Version::TPD Controller v1.1
Data Saved::Fri, Jul 23, 2010 12:42:42
Sample::JRS0032
Experimenter Name::CHeidelberger
Experiment Type::TPD
Chamber::Prep
Thermocouple Type::K
Notes::Testing TPD controller.

==Hardware Parameters==
Start Time::Fri, Jul 23, 2010 12:39:39
Data Points::287
Sample Start Temperature (Thermocouple) [C]::72.74000
Current Limit [A]::5.00000
Temperature Limit [C]::900.00000
Voltage Limit [V]::20.00000
PID Calculates::Current

==PID Gain Schedule==
Kc	Ti[minutes]	Td[minutes]	MaxTemperature[C]
0.0030000	0.1000000	0.0010000	0.00

==Temperature Schedule==
Time[s]	TemperatureSetpoint[C]
0.00	480.00
20.00	480.00
143.00	850.00

==Data==
DateStamp	ElapsedTime[s]	TemperatureSetpoint[C]	CurrentSetpoint[A]	ThermocoupleTemperature[C]	PyrometerTemperature[C]	MeasuredCurrent[A]	MeasuredVoltage[V]	MeasuredResistance[ohms]
7/23/2010 12:39:39	0.000	480.000	1.222	72.640	249.786	0.000	0.050	Inf
7/23/2010 12:39:39	0.519	480.000	0.121	419.590	250.854	1.180	6.620	5.610
7/23/2010 12:39:40	1.018	480.000	1.071	185.930	254.669	1.180	6.620	5.610
7/23/2010 12:39:40	1.518	480.000	0.058	473.630	257.721	1.030	6.020	5.845
7/23/2010 12:39:41	2.018	480.000	0.969	242.390	258.759	0.360	3.720	10.333
7/23/2010 12:39:41	2.519	480.000	0.171	464.540	268.280	0.910	5.610	6.165
7/23/2010 12:39:42	3.018	480.000	0.885	283.830	278.625	0.910	5.610	6.165
7/23/2010 12:39:42	3.518	480.000	0.361	429.380	289.001	0.830	5.350	6.446
7/23/2010 12:39:43	4.018	480.000	0.870	301.970	299.652	0.370	3.700	10.000
7/23/2010 12:39:43	4.518	480.000	0.409	433.840	313.202	0.370	3.700	10.000
7/23/2010 12:39:44	5.018	480.000	0.843	326.380	320.740	0.390	3.810	9.769
7/23/2010 12:39:44	5.518	480.000	0.382	458.480	329.376	0.800	5.350	6.687
7/23/2010 12:39:45	6.018	480.000	0.717	377.670	336.761	0.360	3.700	10.278
7/23/2010 12:39:45	6.518	480.000	0.443	455.300	342.346	0.360	3.700	10.278
7/23/2010 12:39:46	7.018	480.000	0.654	404.380	348.633	0.400	3.890	9.725
7/23/2010 12:39:46	7.518	480.000	0.481	454.260	357.025	0.640	4.640	7.250
7/23/2010 12:39:47	8.018	480.000	0.613	423.430	362.671	0.430	3.910	9.093
7/23/2010 12:39:47	8.518	480.000	0.511	453.460	368.347	0.430	3.910	9.093
7/23/2010 12:39:48	9.018	480.000	0.581	438.360	376.678	0.480	4.020	8.375
7/23/2010 12:39:48	9.518	480.000	0.523	456.400	381.683	0.580	4.280	7.379
7/23/2010 12:39:49	10.018	480.000	0.563	448.570	386.871	0.490	3.980	8.122
7/23/2010 12:39:49	10.518	480.000	0.526	460.510	392.120	0.490	3.980	8.122
7/23/2010 12:39:50	11.018	480.000	0.550	456.450	397.003	0.490	3.980	8.122
7/23/2010 12:39:50	11.518	480.000	0.528	464.000	400.909	0.530	4.110	7.755
7/23/2010 12:39:51	12.018	480.000	0.536	463.710	404.175	0.470	3.980	8.468
7/23/2010 12:39:51	12.518	480.000	0.519	469.600	406.067	0.470	3.980	8.468
7/23/2010 12:39:52	13.018	480.000	0.530	467.810	409.088	0.460	3.940	8.565
7/23/2010 12:39:52	13.518	480.000	0.508	474.780	411.713	0.480	4.170	8.687
7/23/2010 12:39:53	14.018	480.000	0.525	471.090	413.239	0.480	3.910	8.146
7/23/2010 12:39:53	14.518	480.000	0.510	475.520	416.382	0.480	3.910	8.146
7/23/2010 12:39:54	15.018	480.000	0.509	476.700	417.847	0.460	3.960	8.609
7/23/2010 12:39:54	15.518	480.000	0.514	475.720	419.189	0.450	3.910	8.689
7/23/2010 12:39:55	16.018	480.000	0.509	477.260	420.319	0.490	3.960	8.082
7/23/2010 12:39:55	16.518	480.000	0.510	477.390	422.150	0.490	3.960	8.082
7/23/2010 12:39:56	17.018	480.000	0.488	483.770	423.279	0.470	3.910	8.319
7/23/2010 12:39:56	17.518	480.000	0.504	479.640	424.866	0.460	3.810	8.283
7/23/2010 12:39:57	18.018	480.000	0.488	483.800	425.415	0.460	3.940	8.565
7/23/2010 12:39:57	18.518	480.000	0.502	479.990	426.422	0.460	3.940	8.565
7/23/2010 12:39:58	19.018	480.000	0.481	485.520	425.995	0.480	3.940	8.208
7/23/2010 12:39:58	19.518	480.000	0.494	481.890	426.422	0.450	3.830	8.511
7/23/2010 12:39:59	20.018	480.054	0.480	485.700	426.086	0.470	4.670	9.936
7/23/2010 12:39:59	20.518	481.558	0.485	485.560	426.575	0.470	4.670	9.936
7/23/2010 12:40:00	21.018	483.062	0.480	487.950	427.399	0.460	4.540	9.870
7/23/2010 12:40:00	21.518	484.566	0.480	489.210	429.321	0.430	4.540	10.558
7/23/2010 12:40:01	22.018	486.070	0.477	491.170	431.183	0.460	4.490	9.761
7/23/2010 12:40:01	22.518	487.574	0.479	491.790	433.075	0.460	4.490	9.761
7/23/2010 12:40:02	23.018	489.079	0.482	492.070	435.425	0.440	4.490	10.205
7/23/2010 12:40:02	23.518	490.583	0.480	493.780	437.561	0.440	4.490	10.205
7/23/2010 12:40:03	24.018	492.087	0.490	492.330	439.850	0.440	4.470	10.159
7/23/2010 12:40:03	24.518	493.591	0.492	492.980	441.620	0.440	4.470	10.159
7/23/2010 12:40:04	25.018	495.095	0.482	497.260	444.000	0.480	4.520	9.417
7/23/2010 12:40:04	25.518	496.599	0.488	497.040	445.465	0.480	4.450	9.271
7/23/2010 12:40:05	26.018	498.103	0.486	498.820	447.205	0.450	4.450	9.889
7/23/2010 12:40:05	26.518	499.607	0.489	499.530	448.364	0.450	4.450	9.889
7/23/2010 12:40:06	27.018	501.111	0.491	500.410	449.738	0.450	4.410	9.800
7/23/2010 12:40:06	27.518	502.615	0.484	503.930	451.019	0.480	4.470	9.312
7/23/2010 12:40:07	28.018	504.119	0.493	502.880	452.240	0.460	4.430	9.630
7/23/2010 12:40:07	28.518	505.623	0.487	505.910	453.064	0.460	4.430	9.630
7/23/2010 12:40:08	29.018	507.127	0.499	504.310	454.132	0.460	4.410	9.587
7/23/2010 12:40:08	29.518	508.631	0.493	507.330	455.017	0.460	4.450	9.674
7/23/2010 12:40:09	30.019	510.138	0.496	508.140	455.750	0.490	4.450	9.082
7/23/2010 12:40:09	30.518	511.640	0.500	508.730	456.787	0.490	4.450	9.082
7/23/2010 12:40:10	31.018	513.144	0.502	509.720	457.855	0.440	4.430	10.068
7/23/2010 12:40:10	31.518	514.648	0.503	511.060	458.557	0.490	4.450	9.082
7/23/2010 12:40:11	32.018	516.152	0.507	511.830	459.778	0.490	4.450	9.082
7/23/2010 12:40:11	32.518	517.656	0.511	512.360	460.937	0.470	4.450	9.468
7/23/2010 12:40:12	33.018	519.160	0.510	514.290	462.128	0.470	4.450	9.468
7/23/2010 12:40:12	33.518	520.664	0.512	515.600	463.196	0.510	4.450	8.725
7/23/2010 12:40:13	34.018	522.168	0.517	516.080	464.691	0.510	4.450	8.725
